SampleID	Known_2	Known_3	Known_4	Known_5	Known_6	Known_7	Known_9	Known_10	Known_11	Known_14	Known_15	Known_16	Known_18	Known_50	Known_19	Known_20	Known_21	Known_22	Known_23	Known_48	Known_24	Known_25	Known_27	Data1_Unknown_1	Data1_Unknown_3	Data1_Unknown_5	Data1_Unknown_6	Data1_Unknown_10	Data1_Unknown_12	Data1_Unknown_18	Data1_Unknown_22	Data1_Unknown_26	Data1_Unknown_28	Data1_Unknown_29	Data1_Unknown_31	Data1_Unknown_32	Data1_Unknown_36	Data1_Unknown_41	Data1_Unknown_42	Data1_Unknown_43	Data1_Unknown_45	Data1_Unknown_46	Data1_Unknown_48	Data1_Unknown_50	Data1_Unknown_51	Data1_Unknown_53	Data1_Unknown_55	Data1_Unknown_57	Data1_Unknown_58	Data1_Unknown_59	Data1_Unknown_60	Data1_Unknown_61	Data1_Unknown_62	Data1_Unknown_63	Data1_Unknown_64	Data1_Unknown_65	Data1_Unknown_66	Data1_Unknown_67	Data1_Unknown_70	Data1_Unknown_71	Data1_Unknown_73	Data1_Unknown_77	Data1_Unknown_78	Data1_Unknown_80	Data1_Unknown_81	Data1_Unknown_82	Data1_Unknown_83	Data1_Unknown_84	Data1_Unknown_85	Data1_Unknown_86	Known_49	Known_30	Known_33	Known_35	Known_37	Known_39	Known_41	Known_42	Known_44	Known_45	Known_46	Known_47	Known_38	Known_32	Known_34	Known_36	Known_31	Known_40	Known_43
Sample_23	0.2728	1.069	1.845	-0.5316	-0.2533	0.2793	0.2469	0.8779	-0.3518	-0.5978	0.8506	1.254	-0.5244	-0.2211	-0.8779	-0.8151	-1.919	-0.8871	-1.005	0	-1.845	-1.188	0.9641	-0.5029	-1.576	-1.296	0.6053	-1.24	-0.7144	-1.005	-1.919	-0.4056	-1.138	1.457	-0.1257	0.3853	-2.005	-1.722	0.7225	-0.9346	0.2404	-0.8871	-0.06271	0.4959	-0.7978	-0.6357	-1.722	0.3451	-0.5388	-1.388	-0.9641	-0.7638	-0.2404	-0.5903	-0.8327	0.1004	-1.495	0.5607	0.7638	-0.8779	0.1446	0.1955	1.115	0.7978	0.0188	2.005	-0.3921	0.9443	1.388	0.05643	0.9945	-0.06899	0.6511	-0.8687	-0.09414	-1.356	0.6824	1.188	0.5388	0.06899	0.2147	-0.08156	-0.151	1.388	-1.213	0.6745	0.4747	0.4399	0.1827
Sample_166	0.5461	0.3385	-0.17	0.9641	0.2598	1.254	-1.047	-1.254	-0.9741	0.8239	0.0188	0.5316	2.108	2.108	2.108	2.432	2.241	2.807	2.432	1.047	2.807	2.807	-0.8151	1.919	2.807	1.476	0.8687	2.432	2.432	0.8151	1.267	0.9249	1.845	-0.8687	1.092	0.0188	2.807	0.3651	0.5461	2.108	-0.4607	2.108	1.005	-0.4747	-0.3651	0.3186	2.807	-0.3719	-0.1764	1.495	1.845	0.7807	-0.3385	0.3786	-1.812	0.5029	2.807	2.432	-0.9842	1.621	-0.3518	2.807	-0.6357	-0.7807	1.495	0.5754	1.845	-0.8327	0.7306	1.138	0.03134	-0.5244	1.845	1.722	-1.356	0.2147	0.1955	-0.2147	-0.8239	0.7807	1.103	1.356	-0.2083	0.9249	0.3055	0.2211	1.213	-0.1193	0.7638
Sample_167	0.4959	0.8327	0.8506	-0.132	0.0188	1.326	-0.1446	-0.433	-0.4056	0.03761	-0.3252	-0.1193	-1.296	2.241	0.3055	0.5101	1.845	0.8506	1.326	0.8151	-0.2533	0.3055	-0.3252	0.2147	-0.1446	0.3319	0.3252	-0.1257	-0.5534	-0.3921	0.3921	-0.1764	1.514	-0.5172	0.4468	-0.4193	-0.5244	0.7471	-0.1067	0.3518	1.267	0.6204	0.5461	1.341	0.1067	0.3186	-0.2083	1.24	-1.092	0.7807	-0.4747	1.126	2.108	0.01253	0.6357	0.4193	-0.5754	0.3252	-0.2858	-0.4399	1.845	0.2147	-0.5172	-0.2211	0.6357	-0.9741	1.96	-0.2858	1.267	0.9842	1.138	0.03134	0.5461	0.3121	0.6053	1.138	0.1955	0.5754	-0.1067	0.3121	0.4261	0.9945	-1.919	1.005	0.4468	-0.6745	-0.132	0.03134	0.6983
Sample_137	0.8687	1.047	0.08156	1.296	2.005	1.845	0.4538	0.3585	-0.0188	0	-0.7978	0.234	0.2793	1.621	1.188	1.722	1.115	1.422	1.422	1.722	0.9249	1.457	0.4468	1.845	1.163	-0.1891	0.2793	1.422	0.7471	0.6903	0.8151	1.722	1.78	0.4261	1.78	2.241	1.188	1.722	0.3252	1.138	-0.5388	1.78	0.5244	0.9842	0.3651	0.5388	0.8871	0.7306	-0.06899	0.7306	0.7978	-0.05643	0.6433	0.1004	-0.8871	0.7807	1.227	1.388	0.3719	1.115	0.3853	1.495	0.5903	0.3518	2.108	-0.1827	1.722	0.4468	1.213	1.267	1.457	-0.3853	0.433	1.495	0.7306	-0.09414	-0.132	0.3252	1.092	-1.047	-0.4677	-0.4677	-0.7471	0.01253	0.3719	-1.24	-1.845	-0.7144	-1.845
Sample_126	0.2083	0.2533	0.4468	0.433	1.388	1.069	-0.7722	-0.9443	-1.67	-0.1193	0.1193	0.05015	0.1573	1.092	1.356	1.78	-0.17	1.047	0.6511	1.326	0.5754	1.495	-1.115	1.311	0.9059	0.01253	0.2793	2.807	0.9641	1.44	0.5461	1.163	0.7306	-1.005	1.296	1.78	1.115	0.7306	0.4607	1.103	0.1637	2.432	0.5029	1.422	-1.326	0.09414	0.2989	1.311	1.495	1.015	1.919	-0.4607	1.67	1.115	-0.3186	1.67	1.175	1.812	-1.495	1.845	1.047	1.576	-1.722	-1.388	1.213	1.388	0.5461	-1.422	0.9443	0.6511	-0.06271	1.175	-0.4607	0.8596	-0.5607	0.8779	-0.2924	0.7063	-0.132	1.621	2.005	2.241	0.2858	0.03134	-0.04388	0.6204	0.9641	0.8151	1.576
Sample_12	-0.7306	-1.115	-1.326	-1.356	-0.2083	-0.1446	-1.326	-1.621	-1.296	-0.05643	-0.6588	-0.6357	-0.17	-0.7978	-0.7063	-0.9059	-0.0188	0.1004	-0.7144	-1.326	-0.1193	0.1955	-0.2147	-0.9641	-0.0188	-1.005	-0.6824	-0.4677	0.2147	0.9249	0.4056	0.2989	-0.1446	-0.1067	0.9641	-0.3921	0.3651	0.1637	-1.356	-0.6666	-1.036	-0.8327	-0.6128	-0.4193	-0.151	-0.5903	-0.2275	-0.6204	-0.5607	0.5244	-1.115	0.5029	-0.7063	-0.7807	-0.7306	0.6983	0.6053	-0.1193	-0.4193	-1.138	1.514	-0.5534	-0.433	-0.4193	-1.026	0.9443	0.2728	-0.2469	-1.576	-0.7471	-0.5534	0.6511	1.047	-0.03134	-0.4193	0.7306	0.03134	1.919	0.3055	-0.6983	-0.6128	-0.1383	-1.356	-0.8151	-1.296	-0.433	-2.432	-0.6666	-0.5903
Sample_60	1.388	0.8687	1.495	1.267	0.8687	0.9249	1.15	1.267	1.621	0.9249	1.457	1.047	0.4888	1.047	0.132	0.3786	-1.388	-1.005	-0.7638	1.005	-1.296	-0.2469	0.8327	-0.05015	0.4747	-0.2211	-0.7063	-0.5903	-0.2728	-0.7892	0.4607	1.138	-1.115	0.7638	1.138	1.695	-1.24	0.6666	-0.6204	0.1067	-0.4607	0.2598	-0.4747	0.3252	-0.05015	-0.2469	-1.069	-0.4125	0.1573	0.6053	-0.8327	-1.457	0.02507	-1.138	-1.296	-1.267	-1.267	0.1637	0.8871	-0.8506	-2.005	-0.2598	0.9641	0.8871	-0.1004	1.457	-1.163	0.7978	0.6983	0.3719	1.598	-0.9542	-0.09414	-0.3651	-0.3518	1.722	-0.2598	0.8506	-0.1955	-0.006267	-0.06899	0.0188	1.576	0.8506	0.09414	-0.4193	-0.6824	1.069	0.3921
Sample_101	0.9842	-0.09414	-0.1955	0.1827	-1.069	1.722	-1.069	-0.6983	-0.1446	1.103	-0.2083	-0.9443	1.845	0.8779	-0.1955	0.8327	-0.2989	0.5316	1.126	0.8327	2.241	0.9249	0.1573	0.7144	1.296	0.433	-0.1067	0.2793	1.24	-0.5316	1.047	0.5754	1.514	0.06899	1.175	0.3319	1.388	0.7807	-0.9842	-0.1383	-0.17	0.3719	0.05643	0.05643	-1.534	0.3719	2.432	-0.2663	2.241	1.092	-0.01253	0.9443	-0.07527	-1.115	-0.9641	0.6666	0.6745	0.2275	0.04388	-0.2728	0.2019	0.5388	0.06899	0.03134	0.7807	0.08156	2.108	0.1257	0.7722	1.405	0.9945	0.4607	1.722	1.576	0.8687	-1.026	-0.05643	-0.132	0.132	-1.457	-1.24	-0.6053	-0.4607	0.9842	-1.422	-0.9154	1.08	-0.4888	-0.9945
Sample_32	-1.356	-0.6666	-1.213	-0.3518	-0.8239	-0.234	-0.8871	-0.7306	-1.047	0.6053	0.07527	-0.1067	0.8151	-0.2469	0.3451	0.4747	0.3786	0.1383	-0.1955	-1.092	0.6824	-0.3853	-0.4193	0.1637	0.4193	0.8687	-1.036	1.163	0.5172	0.7144	0.7306	0.4399	0.5029	-0.2211	0.8151	-2.108	0.628	-0.06899	-1.026	0.4193	0.4959	0.4468	-0.8151	1.341	0.433	0.8687	0.6053	1.138	1.08	1.881	0.3186	-1.026	1.2	-0.1573	-0.1764	1.026	0.5244	-0.151	-0.6511	0.08784	-0.05643	-0.4607	-0.2858	-0.5029	-0.1827	-1.326	0.2989	-0.3385	-1.047	-0.4193	-1.058	-0.6511	-0.1067	0.6511	-1.296	-0.9059	0.433	-1.576	0.06271	0.4747	0.3385	0.8965	-0.3719	0.1446	0.7306	-0.2469	1.576	0.1573	1.722
Sample_16	-0.07527	-0.3651	-0.6903	0.7144	1.812	0.5754	-0.05643	0.006267	0.1827	0.6745	-0.5754	0.03134	-0.4193	0.9641	0.5681	1.422	0.132	-0.006267	0.3921	-0.4193	0.2858	2.432	0.5754	1.069	0.6983	1.722	0.03761	1.311	-0.2924	-0.132	1.24	1.388	0.7807	0.6053	1.67	1.326	0.1827	1.267	-0.2083	0.6128	-0.9945	1.722	0.1827	-0.3921	-0.3921	-0.1446	0.5607	-0.4468	1.881	2.241	0.433	-0.3252	-0.2404	-0.6357	-0.4747	0.6053	-0.006267	1.163	0.3385	0.5388	1.092	1.08	0.2989	0.4468	0.2147	0.1891	0.5607	0.5607	0.234	0.2469	-0.3518	0.6666	1.24	0.6053	-0.3719	-0.03134	1.296	1.026	-0.8506	0.8779	0.3853	0.2989	-0.3719	1.422	-0.3853	1.67	-0.5316	0.2858	0.234
Sample_78	0.132	-0.1827	-0.3518	-0.17	0.06899	1.026	-0.03134	-0.08156	0.5903	-1.341	0.05643	0.3585	-1.722	-1.422	-0.5388	0.06271	-0.6511	-0.6204	-1.138	0.1573	-1.67	-0.4607	-1.026	1.476	-0.234	-1.919	-0.8871	0.1764	-1.457	0.4056	0.3786	0.5607	-0.9249	-1.326	1.115	-0.5903	-0.9641	1.188	-0.4193	-0.4261	0.2989	0.3186	-0.7388	0.4399	0.5754	0.6745	-1.457	0.2663	0.8596	-0.01253	-0.132	-1.78	0.2404	-0.5029	0.0188	-0.1067	-0.5316	0.5828	-1.188	-0.2275	2.108	0.5388	-1.621	-1.188	0.1383	-0.4888	-1.213	-0.9443	-0.3921	-0.1891	-0.1573	0.1827	1.476	0.4056	-1.326	0.05643	0.2404	0.05643	-0.4399	0.2924	0.5681	-0.02507	0.5828	-1.326	-1.015	0.5534	-1.175	-0.8871	-0.1827
Sample_50	0.4959	0.8327	0.5388	0.3921	0.5029	1.254	1.326	1.422	1.78	0.5101	0.5172	0.4747	0.0188	0.04388	0.2533	0.1955	0.006267	0.7638	0.9249	-0.3585	-0.1446	-1.047	1.576	-1.213	-0.8871	0.2989	-0.132	-0.2469	-1.005	-1.069	0.5607	0.6983	0.7471	1.67	1.267	-0.1193	-0.5754	1.24	-1.227	0.2211	0.6983	0.2728	0.09414	1.24	0.3252	0.4193	0.08784	0.9741	0.6983	1.326	-0.5101	1.645	1.44	-1.881	0.6511	0.4747	-0.7554	-0.151	1.534	-0.4399	1.722	-0.8871	1.457	1.576	1.576	0.9249	0.9443	1.576	0.8416	0.3252	1.026	-0.7471	1.78	0.1446	0.03134	-0.1067	0.6357	0.08156	0.3585	-0.9842	-0.2663	0.1891	1.213	-0.7225	0.1257	-0.1446	0.07527	0.2275	-1.356
Sample_100	0.151	1.78	1.254	-0.03134	-0.3651	0.5316	1.388	1.356	1.092	0.433	0.2728	-0.2211	0.1764	-0.1193	1.598	0.01253	1.78	1.296	0.5534	0.3518	-0.05643	-1.026	-0.132	-1.495	-0.5101	0.04388	-0.7306	0.113	-0.8687	-1.356	0.6053	1.069	-0.5388	-0.6053	1.24	0.03134	-0.4607	0.5607	-1.069	1.67	0.7978	-0.03761	-0.6824	0.3989	0.5607	0.1446	0.234	-0.08156	0.17	0.9842	-0.08156	0.4747	0.1193	-1.326	-1.115	-0.5828	-0.5461	-0.1955	-0.2989	-0.04388	1.514	-0.5534	-0.1193	-0.2858	1.005	-0.17	-0.1067	-0.234	1.026	-0.17	0.132	1.24	-0.05643	0.4607	1.138	-0.8327	-0.9059	0.4677	-1.457	1.026	0.06271	-0.3385	-0.5978	0.1764	-0.1446	-1.722	-1.495	0.6204	-0.1573
Sample_63	-0.03761	0.05643	0.5172	-0.2019	-0.5388	0.132	-1.092	-0.7144	0.2989	0.2083	-0.6588	-0.8871	-0.6983	0.2598	-0.3121	-0.1955	0.4747	0.6128	0.7807	-0.8596	-0.2858	-0.4056	-0.0188	-1.44	-0.6666	0.5754	-0.5029	-0.9443	-0.6983	-0.6666	-0.05643	1.422	-0.08784	0.0188	2.005	-0.2989	-0.7388	0.8506	-0.4817	-0.05015	-0.5101	-0.1067	-0.3186	-0.2924	0.4607	0.1573	-0.2858	-0.2019	0.7225	1.188	-1.514	0.9641	-0.17	-0.6666	-1.812	-0.2083	-1.092	-1.005	0.05643	-1.44	0.4399	-1.24	0	0.0188	-0.9641	-0.5681	0.234	-0.03134	-0.2083	-0.5316	0.2019	1.213	1.267	1.005	2.108	0.7471	-1.115	0.7807	0.2533	1.534	1.296	0.8327	-0.1067	1.495	1.457	0.04388	0.3121	0.7638	-0.6824
