SampleID	Known_2	Known_3	Known_4	Known_5	Known_6	Known_7	Known_9	Known_10	Known_11	Known_14	Known_15	Known_16	Known_18	Known_50	Known_19	Known_20	Known_21	Known_22	Known_23	Known_48	Known_24	Known_25	Known_27	Data1_Unknown_1	Data1_Unknown_3	Data1_Unknown_5	Data1_Unknown_6	Data1_Unknown_10	Data1_Unknown_12	Data1_Unknown_18	Data1_Unknown_22	Data1_Unknown_26	Data1_Unknown_28	Data1_Unknown_29	Data1_Unknown_31	Data1_Unknown_32	Data1_Unknown_36	Data1_Unknown_41	Data1_Unknown_42	Data1_Unknown_43	Data1_Unknown_45	Data1_Unknown_46	Data1_Unknown_48	Data1_Unknown_50	Data1_Unknown_51	Data1_Unknown_53	Data1_Unknown_55	Data1_Unknown_57	Data1_Unknown_58	Data1_Unknown_59	Data1_Unknown_60	Data1_Unknown_61	Data1_Unknown_62	Data1_Unknown_63	Data1_Unknown_64	Data1_Unknown_65	Data1_Unknown_66	Data1_Unknown_67	Data1_Unknown_70	Data1_Unknown_71	Data1_Unknown_73	Data1_Unknown_77	Data1_Unknown_78	Data1_Unknown_80	Data1_Unknown_81	Data1_Unknown_82	Data1_Unknown_83	Data1_Unknown_84	Data1_Unknown_85	Data1_Unknown_86	Known_49	Known_30	Known_33	Known_35	Known_37	Known_39	Known_41	Known_42	Known_44	Known_45	Known_46	Known_47	Known_38	Known_32	Known_34	Known_36	Known_31	Known_40	Known_43
Sample_162	0.3252	1.092	-0.4607	-0.7638	0.1637	1.388	0.7471	0.5172	0.7807	-0.7471	0.4747	0.5607	-1.67	0.5978	-0.4468	0.01253	0.5316	-0.08784	-0.1827	0.5978	-1.388	0.4607	0.6204	-0.4677	-0.9249	-1.405	-0.7978	1.213	-1.24	0.3518	0.1573	1.092	0.5461	0.6666	1.621	0.7471	-0.8871	0.7144	-0.8687	-0.3319	0.4747	0.1573	-0.8687	0.5607	0.1067	0.8506	-1.534	0.7807	1.621	0.3921	0.7144	-0.5754	0.3719	0.8151	0.2147	0.5172	-0.6433	0.4468	0.6204	0.4747	1.188	0.03761	0.7638	0.6204	1.919	0.628	0.5101	0.6824	0.4677	0.3451	0.7978	-1.047	0.5607	0.8871	1.24	0.6128	0.9249	1.24	-0.4607	-0.6053	-0.8687	-0.8506	1.326	0.01253	0.4677	0.4193	-0.7306	-0.3853	-1.326
Sample_145	0.151	0.3252	0.1193	-1.422	-2.432	1.115	-1.457	-1.069	-0.4817	-1.026	-1.326	-1.267	-2.432	-0.9249	-2.108	-2.108	-0.3319	-0.5316	-0.6053	0.08156	-1.576	0.01253	0.3252	-1.845	-0.6053	0.3518	-1.138	-1.457	-0.9059	-0.6053	-2.807	-0.9641	-0.1257	0.2858	0.5461	-1.722	-1.78	-0.8506	-0.1955	-2.108	0.02507	-2.108	-1.576	-0.1446	0.5029	-0.132	-2.108	-0.3252	0.8327	0.6511	-1.457	0.1446	-0.17	0.6357	0.7807	0.1446	-1.722	-1.598	0.234	-1.514	0.1193	-2.432	0.08156	0.234	0.5029	-1.457	0.09414	0.3252	0.5172	0.5607	1.341	0.5754	0.1827	0.2404	0.5903	-1.058	0.09414	-0.06271	-0.6745	0.1383	-0.132	0.1891	-0.2275	-0.8871	-0.1257	0.6053	-0.5978	0.6745	-0.6053
Sample_51	1.919	1.24	1.296	1.457	-0.1383	2.241	0.5461	0.4193	0.8327	-0.9443	-0.8506	-0.4817	-1.026	1.188	0.08156	0.7978	0.151	-0.8506	-0.09414	1.67	-0.3385	1.326	1.047	1.092	0.5029	0.6204	0.5754	0.9346	0.2858	-0.2469	-0.2147	0.2211	0.4468	0.8687	1.213	0.132	-0.4056	0.5903	0.9842	0.06271	-0.3786	0.7722	0.234	0.01253	0.3518	0.3451	-0.3786	-0.1446	0.1193	1.15	0.6666	-0.1955	0.4125	-0.3319	1.388	0.06271	-0.433	1.44	0.9249	0.4747	-0.2469	1.296	0.6824	0.9059	1.78	-0.8151	-0.2728	1.047	1.812	1.919	2.005	1.026	1.026	1.047	0.2211	0.3651	0.1446	0.6666	1.213	-0.7978	-0.7807	-0.3121	0.7225	-1.047	-0.4468	1.069	0.6983	-1.422	-1.621
Sample_161	1.047	1.115	1.058	0.4959	-0.02507	-0.2083	-0.3651	0.0188	-0.5607	-1.227	-1.621	-1.163	-1.005	-0.03134	0.4468	0.1446	-0.2211	0.8151	0.7471	1.026	-0.4193	-0.2858	0.6357	-0.4468	-1.047	1.213	1.026	-0.3719	-0.04388	-0.5607	-2.241	-2.108	-0.3786	0.5754	-0.8687	-0.1955	-0.7978	-0.09414	1.78	0.2989	0.9154	0.17	0.4193	0.8596	-1.67	1.026	0.5316	0.8416	1.881	-0.5828	0.3651	0.2728	0.7892	-0.1573	0.9059	-0.9641	-0.9059	0.6128	0.6053	-0.1067	-0.5754	0.09414	0.6357	0.5903	-0.3186	-1.163	-0.7306	0.6983	0.09414	-0.02507	1.405	-0.5903	-0.0188	1.213	-0.9641	0.132	-0.6053	-0.7306	-0.9154	-0.1446	0.2989	0.2083	0.09414	-0.8687	-0.2989	1.188	0.4193	0.3651	0.6666
Sample_88	0.4747	0.7807	1.372	0.3585	-0.17	-0.006267	0.9641	1.115	-0.3186	0.3385	-0.4468	-0.006267	0.06899	0.6204	0.08156	-0.1764	0.3518	-0.1067	0.5316	0.2598	-0.5461	-1.005	1.296	-1.15	-2.005	0.8871	2.108	-0.9059	-0.7978	-1.722	-2.108	-2.807	0.3921	1.534	-2.241	0.2858	-1.495	-2.241	2.241	-0.1383	1.036	-0.2211	1.296	-0.6588	-0.8871	-2.108	0.3518	-0.6511	0.3252	-1.695	0.01253	0.8327	0.7554	-0.08156	0.5244	-1.163	-1.845	-1.845	1.576	-0.3121	0.8596	-1.115	1.621	1.621	0.6983	0.5461	0.5903	1.163	0.8151	0.7554	1.495	0.09414	-2.005	0.1573	-0.4607	1.621	1.005	-1.621	0.3055	-1.356	-0.4468	-0.17	2.432	0.5244	-1.047	1.576	0.1955	1.576	0.1004
Sample_196	0.7063	1.005	1.326	0.8064	0.2989	-0.628	1.15	1.495	-0.6357	0.09414	-1.356	-1.047	-0.8506	0.9842	1.267	-0.01253	2.108	1.005	0.4399	1.267	-0.4888	-2.108	1.213	-0.3385	-1.919	0.5534	2.432	-0.8871	-1.356	-0.8151	-2.005	-2.432	0.5903	1.138	-2.807	0.5607	-0.9059	-1.67	2.807	0.7722	0.6983	0.3451	1.96	0.5607	0.5461	-1.388	-0.5754	0.8416	-0.01253	-2.807	-0.1637	0.7471	0.7892	-0.5172	-0.6666	0.5681	-1.188	-0.6128	1.138	-0.2598	0.4607	-0.1573	1.026	1.115	0.5461	-0.2663	0.4193	1.267	0.7306	0.5029	-0.2598	-0.7978	1.163	1.069	-0.2404	-0.8506	0.1637	0.2989	-0.4193	-1.24	-1.422	-1.188	-2.108	-2.005	-0.5534	1.388	-0.9945	-1.311	-0.6357
Sample_178	-0.1446	0.1764	0.8327	0.6433	0.1067	-0.132	1.78	1.457	1.457	1.78	0.7638	0.4193	0.1764	-0.1067	1.311	0.6745	-0.1955	1.227	1.267	-0.2083	-0.433	-0.7063	0.9249	-0.8687	-1.356	0.9154	-0.433	-0.5461	-1.296	-1.67	0.4888	0.8151	0.1637	0.9443	0.9059	0.08156	-1.534	1.138	0	1.188	1.175	0.8416	-0.3385	0.7306	0.7638	-0.06271	0.3719	0.6357	-0.5903	0.8871	-0.3921	1.005	1.722	-1.388	0.3719	-2.432	-1.67	-0.7638	1.047	-0.3121	1.78	-0.3055	1.534	0.9842	-0.3518	1.356	0.2211	0.8506	0.1067	-0.1067	-0.2858	-0.1067	1.005	1.138	-0.2858	1.388	0.09414	0.1257	-0.3786	0.6511	0.3651	0.3518	0.05643	-0.2728	-0.6824	0.9443	0.9059	-0.5029	0.2663
Sample_36	-0.5029	-0.3989	-0.4193	-0.5903	-1.356	0.02507	-0.3451	0.2989	0.7978	0.4677	-0.7306	-0.9443	0.1446	0.2858	0.8416	-0.151	0.3921	0.7471	0.4888	0.03134	0.8151	-0.2083	-0.2147	-0.8151	0.5607	1.282	-1.24	0.3451	0.6204	0.04388	0.9249	0.6204	0.2989	-0.3651	0.8871	-1.296	0.6511	1.67	0.1193	0.9249	-0.2147	-0.1446	-1.24	0.3989	0.4888	-0.06271	1.069	0.17	0.9641	1.695	0.4817	0.234	0.5244	-0.01253	1.722	0.6357	0.3786	-0.7306	-0.4056	0.06271	0.6903	-0.6745	-0.3651	-0.3651	0	-0.3989	0.6588	-0.2083	-0.5607	-0.08156	-0.9842	-0.08156	-0.1257	0.08784	-0.4817	-0.9443	-0.7638	-1.845	-0.9842	-1.126	-1.495	-0.9842	1.126	0.9641	0.8327	0.8871	0.234	1.534	0.5461
Sample_147	-0.3585	-1.296	0.1446	0	0.5754	-1.495	0.4888	0.1573	0.3921	-1.457	-0.2469	0.4399	-1.356	-1.296	-1.388	0.3518	-0.8687	-0.7306	-0.1446	-1.388	-0.3989	-0.8506	-0.3921	0.3585	-0.1827	-1.495	-0.06271	-0.1764	-0.4538	0.6357	0.1764	0.8687	-0.3385	-0.4607	0.6204	0.1637	-0.02507	1.005	-0.07527	-1.227	-0.4607	0.6204	0.1955	0.17	-0.7144	0.4747	-0.5607	0.04388	1.282	0.2469	-0.4399	0.1955	0.4125	-0.7063	-0.3651	1.069	0.1446	0.7722	-0.234	-0.5172	-1.555	0.4056	-0.2469	-0.3121	-2.108	-0.9249	-0.9641	-0.4607	-1.621	-1.67	-1.267	-0.6983	-1.058	-1.845	0.4747	0.1446	-0.234	-0.1637	0.5029	-2.432	-2.241	-2.241	0.9059	-0.04388	-0.02507	1.78	0.3853	-2.807	-2.807
Sample_7	-0.4261	0.1067	0.4607	-0.09414	0.05015	-0.3921	0.7978	0.9641	0.6666	-0.5029	-0.17	-0.9059	-0.5607	-0.3385	1.476	0.08156	1.621	1.069	0.4399	-0.6357	0.04388	-0.1193	-0.1193	-0.7144	-0.7807	0.2211	-0.6053	-0.7063	-1.695	-1.576	0.5316	0.7144	0.1193	-0.09414	0.6903	0.6053	-0.6204	0.9641	-0.1827	1.356	-0.1004	0.3451	-0.7388	0.3719	0.6903	-0.5607	0.3921	0.2211	0.6204	0.7144	-0.5101	0.7638	-0.02507	-0.7554	-1.092	-1.115	-1.026	-0.0188	0.06899	-0.7722	0.4817	-0.6053	0.5029	0.04388	-0.6824	-1.047	0.06899	-0.09414	-0.5461	-0.4607	0.5172	-0.1955	0.2989	-0.6204	1.163	-0.03134	0.05015	-0.9443	1.722	-1.845	-1.919	-1.534	2.807	-0.4468	0.8064	-0.06271	0.2469	-1.163	-1.722
Sample_14	-0.7638	0.2083	-0.4468	-0.8965	-2.005	-0.5029	-0.4056	0.2793	0.7471	0.8687	-0.4607	-1.722	0.2469	-0.7144	-0.1827	-1.296	0.7144	0.9443	0.7807	-0.5101	0.6204	0.8779	0.2083	-0.6824	0.2211	1.126	-0.5461	-0.5461	0.05643	-1.534	-0.03134	-0.2469	0.1955	0.08156	0.1827	-1.388	-0.234	0.09414	-0.3786	-0.05015	0.8687	-1.372	-0.9542	0.6588	0.6053	0.1955	0.6745	0.4399	1.67	0.9641	-0.6511	1.576	1.026	-1.645	0.5534	0.2989	-0.7554	-0.8687	0.132	-0.8239	-0.6588	-1.495	0.433	0.17	-0.02507	-1.751	0.3518	0.2019	-0.7471	-1.188	0.3121	0.8151	0.06899	0.6983	1.267	1.356	-1.163	0.03761	-0.3186	-0.1891	0.006267	-0.1573	1.047	-0.234	0.5461	0.1573	0.1383	0.2728	0.5316
Sample_85	-0.2793	-0.5754	-0.3853	-0.3186	-0.3786	0.8965	-2.005	-1.881	-1.267	0.06899	0.07527	0.2858	-0.2924	0.2728	0.4056	1.227	0.5172	1.326	1.356	-0.7471	0.6666	1.115	-1.576	0.5903	-0.2858	0.3719	0.2404	0.6983	0.5828	1.845	0.7807	1.026	1.96	-2.005	0.9346	-0.6511	1.326	0.8327	0.2211	0.4193	0.2404	1.326	0.3518	0.7306	-0.2533	0.8965	0.04388	0.5172	0.3651	1.15	0.9154	1.126	0.3121	1.44	1.188	0.006267	1.67	1.722	-1.576	0.6824	-0.08156	1.24	-1.67	-1.495	0.7978	-0.7638	1.78	-1.534	0.5316	0.7144	-1.296	0.8506	-0.5903	-1.534	-0.3252	-1.213	1.422	-0.4125	0.6053	2.432	1.422	1.534	-1.163	0.09414	1.576	1.267	1.015	0.2019	1.213
Sample_124	2.005	0.4747	1.78	2.241	0.8687	2.807	0.9842	1.751	2.432	-0.1004	-0.5978	0.5461	1.722	1.576	1.058	0.9249	0.1067	1.163	0.7807	1.78	1.495	0.8506	2.241	-0.2793	1.267	0.4468	1.069	-2.108	0.1827	-2.432	-1.188	-0.2858	2.432	1.576	0.6053	0.6433	-0.08156	-0.03134	1.24	0.7722	-0.7144	-0.07527	0.3186	-2.807	0.2533	-2.807	2.108	-2.807	-0.08784	0.1446	-1.422	0.4193	-0.2404	-2.108	-1.621	-1.845	-0.9641	-0.2924	2.005	-1.621	0.3385	-0.5754	1.495	2.005	1.67	-0.5316	0.9741	2.108	2.807	2.807	0.6588	-0.7638	-0.6824	0.3385	-1.163	-0.6053	0.09414	-1.751	-1.126	-0.2858	-0.0188	0.4468	0.04388	1.267	0.3921	2.108	1.845	1.254	0.5903
Sample_72	0.9542	1.388	1.422	-0.1827	-0.8506	0.7638	-0.4193	0.06899	-0.1955	-0.4261	-1.138	-1.919	-0.4959	0.006267	0.2728	-0.8871	-0.5461	-0.4677	-0.5607	1.267	-0.1004	-0.08784	0.5316	-2.005	-1.188	0.2663	0.06899	-1.621	-0.433	-1.092	-1.722	-1.24	-0.6357	0.17	-0.2275	0.04388	-0.5244	-1.047	1.138	0.1827	-1.341	-0.9641	-0.5388	-1.069	1.267	-1.722	-0.3121	-1.175	1.576	-0.5029	-1.67	0.006267	-0.7978	-0.5754	-1.163	-0.3451	-0.6433	-1.138	0.4888	-1.514	-0.8239	-1.356	0.2211	0.4125	0.5903	-1.213	-0.9249	0.5172	0.9641	0.8064	1.67	-0.3853	0.04388	0.05643	0.234	-0.7638	-1.722	-1.326	-0.9443	-0.3786	-0.5754	-0.4193	-1.005	0.6983	0.3055	-0.9842	-1.326	0.9059	-0.2924
Sample_120	-2.432	-1.267	-1.555	-1.67	-1.296	-1.388	-1.356	-1.576	-1.919	-0.4468	-0.1827	-1.005	0.6357	-1.576	-0.9443	-0.3451	0.06899	-1.67	-1.695	-2.108	1.722	0.8151	-2.432	-0.4888	-1.67	-0.6204	-0.5316	0.5534	0.7638	0.4817	-0.9443	-0.8151	-0.5903	-2.432	0.1827	-1.175	1.919	0.05643	-0.3921	-0.7471	-0.8064	-0.3585	-0.7063	-0.3252	1.534	1.115	0.8151	-0.1446	-1.047	0.2211	0.6824	-1.919	0.1193	-0.3518	-0.1764	1.326	1.919	0.03761	-2.432	0.2404	0.8151	-0.4468	-2.241	-2.432	-0.3921	-1.069	-1.495	-2.807	-1.845	-2.241	-1.845	-0.5754	-0.1446	-0.9443	-1.138	-1.78	1.388	1.326	0.1573	-0.3518	0.1446	0.0188	-0.7807	-0.3252	-0.02507	-0.2858	1.015	1.457	2.005
Sample_84	0.5607	0.5828	0.0188	0.1827	1.422	1.188	0.08784	-0.1446	0.05643	-0.2211	0.9154	0.4888	-0.9842	-0.2793	-0.6588	0.03761	0.9641	-0.04388	-0.06899	0.05015	-0.6983	0.6053	-0.5172	0.6745	0.234	-0.1067	-0.06271	0.2793	-0.132	1.534	0.7638	1.576	0.1193	-0.3385	1.356	0.6433	-0.2083	1.388	0.3121	-0.5388	0.02507	0.1257	0.06899	0.5607	1.092	0.6433	-0.5978	0.4399	2.108	1.069	0.5461	-0.3786	0.2083	0.2083	1.069	2.005	0.04388	1.534	-0.4747	0.2211	1.15	0.7225	-0.9842	-0.5461	0.8151	1.326	-0.4607	-0.5607	0.8416	0.9059	-0.06271	1.069	0.3786	-0.7144	-0.6983	-1.115	-0.0188	1.495	-1.422	-0.3252	-0.4677	-0.5172	0.2404	0.8871	1.422	0.433	0.2728	-0.1446	0.7978
Sample_89	2.241	2.005	2.108	2.807	2.432	0.9641	1.356	1.326	1.722	0.8506	1.103	1.254	1.576	-0.1446	1.476	2.807	-0.1573	0.1193	0.5172	0.9741	0.1637	1.78	0.05643	1.576	2.108	0.132	0.9443	1.163	1.78	0.6053	2.432	2.432	-1.092	0.09414	2.807	2.108	0.4193	1.341	0.5316	1.576	1.227	1.845	1.092	0.8064	1.069	1.311	0.006267	0.9249	1.326	1.267	0.7306	-0.132	0.6433	1.069	-0.08784	0.4747	0.4468	2.108	0.5029	0.7063	-0.3055	2.432	0.6204	0.4747	-0.4677	0.9059	-1.919	0.06899	1.457	0.5903	0.7471	1.356	0.132	0.08784	-2.005	1.115	0.7638	-0.9059	2.807	-0.5029	-0.8506	0.04388	2.108	0.113	0.9346	1.026	-0.7807	1.213	1.326
Sample_46	-0.17	0.2533	0.05015	-0.9249	-0.1383	-0.4747	-0.3451	-0.8327	-0.3786	-0.7063	-0.3121	-0.3121	-1.422	-2.108	-1.495	-1.722	0.2989	-0.433	-1.326	-1.621	-1.422	-1.213	-0.006267	-1.356	-2.241	-1.457	-2.241	-1.534	-2.807	-0.07527	-0.234	1.296	-2.108	0.1891	0.6357	-0.132	-1.115	0.4538	-2.432	-1.069	0.6357	-1.78	-2.108	1.175	2.005	1.576	-1.388	1.069	1.163	0.433	-1.812	-1.163	1.372	0.9249	0.2728	1.457	-0.9443	-0.9059	-0.03134	-2.005	0.5754	-1.213	-0.1827	-0.03134	-0.5903	-0.7807	-1.576	0.0188	-0.6357	-1.457	-0.3252	-0.6053	0.5903	0.1257	0.5607	0.2147	0.4538	2.432	-1.069	0.5607	-0.7638	-1.388	0.8064	-0.3651	-0.4056	0.06271	-1.621	-1.845	-0.2728
Sample_47	0.9542	0.3055	1.092	0.6433	-0.9842	0.5172	-1.845	-0.9641	0.2147	-0.3921	-1.115	-1.495	0.7978	-0.8151	-0.6128	-1.356	-1.188	-0.6204	-0.2728	0.5978	0.7807	0.5607	0.4193	0.1955	1.67	0.5978	-1.845	-1.2	0.5388	-0.9059	0.5903	0.8871	-1.514	-0.0188	0.8506	-0.3121	0.1955	0.6053	-1.919	-0.4817	1.621	-1.645	-1.751	0.4959	0.3786	-0.234	1.138	0.6903	1.722	0.8064	-0.9443	0.4193	0.5978	-2.005	1.213	-1.24	-0.1573	-0.7892	0.1573	-1.296	0.4399	-1.047	0.1827	0.132	-0.9059	-0.9059	-1.326	0.3786	-0.17	-0.05643	0.8506	0.4125	0.1193	-0.2469	0.8239	0.07527	-0.2083	-0.3121	-0.1637	1.163	1.138	1.069	-0.8151	0.3252	0.9641	0.2469	-0.2533	1.126	0.3319
Sample_97	0.9154	0.07527	1.005	-0.05643	-1.67	1.047	0.0188	0.7978	1.845	1.2	0.2533	-0.05643	-0.5754	-0.2211	-0.8506	-1.015	-1.576	-0.5903	0.01253	0.7306	-0.9154	0.7978	1.388	-1.534	-0.8687	1.188	-0.9641	-1.103	-0.8506	-1.036	0.7144	0.3585	-0.6983	1.069	0.6903	-1.115	-1.422	0.8871	-1.576	-0.7144	1.227	-0.9443	-0.6511	0.8596	0.1383	-0.6983	-0.3989	0.7306	2.005	1.78	-1.163	1.326	1.163	-1.881	0.9249	-1.138	-1.534	-0.9443	1.267	-1.24	-1.069	-2.241	1.24	1.267	-0.6666	0.2404	-0.8151	1.388	0.2989	0.4888	0.9249	0.7978	-1.919	0.2211	0.3518	1.026	-0.4261	-0.5316	-0.7978	-0.2989	-0.2083	-0.4193	0.4888	-0.4747	-0.433	-1.267	-1.126	-0.5316	-0.7807
Sample_117	-0.9842	-0.7638	-0.5172	-1.495	-0.9154	-1.534	-1.78	-1.138	-0.7306	2.054	1.341	-0.1955	1.15	-0.9443	-0.7063	-1.175	-0.5903	-0.2989	-0.1067	-0.5388	-0.9154	0.433	-0.6824	-0.7807	0.7471	0.6511	-1.534	-0.4056	0.5029	0.8779	0.9641	1.495	-0.5388	-1.092	1.026	0.4125	-0.6666	0.2924	-2.807	-0.5388	1.534	-1.092	-1.388	1.103	0.6433	0.2469	-0.8064	1.188	1.78	1.881	-0.3055	0.8151	1.026	0.2924	1.919	0.7554	-0.4468	-0.09414	-1.092	-0.9641	-0.3518	-0.7807	-0.7978	-1.069	-1.356	0.2598	-0.4888	-0.7471	-1.163	-0.6204	-0.2469	0.9641	-0.9741	-0.6666	0.2858	-0.4056	0.5903	1.722	-0.04388	0.9443	0.4747	-0.1004	0.2858	0.04388	-0.2728	0.17	-0.3121	1.126	0.06271
Sample_69	-0.9443	-1.67	-1.495	-0.3989	0.5316	-0.4888	-2.432	-2.807	-1.576	-0.4817	-0.9641	-1.356	0.9641	-1.78	-0.7978	0.4888	-0.8327	-1.175	-0.8871	-1.495	0.433	1.163	-1.422	1.67	2.241	-0.1891	-1.267	-0.1764	2.108	1.919	1.67	0.9443	-1.069	-2.241	1.175	0.8327	0.8416	0.7978	-0.3585	-0.6824	0.8687	0.04388	-0.9842	0.8965	1.036	0.6433	0.3719	0.4399	1.422	1.555	0.3921	-0.06899	0.5244	-0.113	-0.1067	-0.4468	0.9346	0.6357	-1.78	-0.132	-1.15	0.5388	-2.108	-1.845	-1.576	-0.6824	-1.457	-1.576	-2.241	-2.108	-1.388	0.9154	-0.04388	-1.047	-0.1827	-1.457	0.05015	-0.4125	0.08156	1.919	1.919	0.8687	-1.388	0.2793	-0.9059	0.113	1.78	0.5681	0.2989
Sample_171	-0.5316	0.3518	-1.296	-1.163	-0.3921	0.3651	-0.2858	-0.3786	0.4056	1.267	1.78	1.534	0.09414	-0.09414	0.05643	0.06271	-0.1446	0.2211	0.06899	-0.6053	0.1067	1.356	-0.1827	0.8687	0.7807	0.2469	-1.495	1.036	-0.113	1.78	1.534	0.6666	0.4261	-0.1446	1.005	-0.7978	0.6983	0.9842	-0.7144	0.2469	0.5754	0.08156	-1.188	1.24	-0.7554	0.2858	-0.0188	0.9443	-0.6357	2.005	0.8596	-0.6511	0.2083	0.9059	0.5534	1.163	0.8687	1.254	-0.3121	0.6357	1.213	0.7807	-0.2728	-0.3853	0.4056	0.8416	0.3121	-0.1827	-0.7722	-0.4399	-0.5828	0.7807	-1.534	-0.5754	1.036	0.7807	0.8327	0.6824	-0.2211	0.9059	0.5978	0.5316	-0.05643	1.356	0.5978	-1.388	-0.5978	-0.3651	-0.4888
Sample_136	-0.5903	-1.213	-0.5461	0.4959	0.3585	0.5978	-0.0188	0.2793	1.296	-0.1004	-0.6824	-0.5244	0.4747	0.6824	0.6983	1.163	0.151	0.4888	0.6745	-0.5754	1.326	1.388	0.6666	0.7722	1.845	0.1446	-0.234	0.03134	1.138	-0.4261	1.296	1.845	0.6745	0.6824	1.495	-0.03134	0.7144	1.78	0.2469	1.005	0.7471	0.9249	0.03134	0.7306	0.6204	1.163	1.341	0.5754	0.4261	1.388	-0.2598	-0.04388	0.4125	0.9842	-0.6983	-0.09414	0.3651	1.356	0.6666	-0.4056	0.3853	0.6745	0.7144	0.6511	-0.7638	-0.433	0.2598	0.6204	-0.2404	0.2989	-0.9249	0.2598	0.8871	1.422	0.8239	0.234	2.807	1.388	0.7722	-1.495	-1.138	-0.5828	0.3319	-0.08156	-0.3853	-1.919	-1.069	0.1446	-0.09414
Sample_59	0.6204	0.5244	1.576	1.919	0.8327	1.919	2.432	2.241	2.807	1.036	0.6983	0.9641	0.7063	0.234	1.534	0.9641	1.457	2.241	2.807	-0.03134	0.03134	0.7306	1.175	-2.108	-0.2598	-0.4056	-0.1573	-2.241	-0.9443	-2.807	-0.8506	2.108	1.188	0.9641	1.722	0.5828	-1.282	1.026	-1.267	1.422	0.2404	0.6824	0.2083	0.1383	-0.0188	-2.241	0.8687	-0.01253	-0.2147	0.6983	-1.576	2.807	0.5978	-2.432	-0.3921	-2.807	-1.919	-2.005	1.326	-1.812	0.6903	-1.78	1.722	1.227	1.621	0.6511	1.356	1.069	2.108	1.78	-0.0188	-0.4056	0.7638	0.9249	0.2083	0.3921	-0.06899	-1.15	-0.1193	-0.05643	0.2404	0.6053	1.015	-0.5316	1.175	-0.4959	0.7892	0.8327	0.3651
Sample_96	-1.621	-1.026	-1.919	-2.005	-2.108	-0.2598	0.132	-0.01253	0.6511	1.296	0.8687	0.7554	-0.6666	-1.2	-1.751	-1.67	-1.356	-1.78	-1.845	-1.213	-1.78	-0.1637	0.3451	-0.5461	-0.7978	-1.621	-2.005	-0.4677	-1.422	0.2275	0.6433	1.005	-1.2	0.4261	0.8687	-1.24	-1.213	0.3451	-1.495	-1.388	-1.44	-1.576	-1.751	-1.188	0.2728	0.4607	-1.67	-0.9741	0.9842	0.3518	-0.3385	-2.108	-0.6824	0.1193	0.006267	-0.4959	-0.8506	-0.8151	0.3719	-1.005	1.388	-1.326	0.3786	0.4888	-0.4056	-0.2469	-1.267	0.3651	-1.722	-1.069	-1.495	0.2469	2.432	2.005	-1.78	-0.5903	-1.356	0.09414	1.296	0.1764	0.3252	0.9443	0.5388	0.2793	1.621	2.005	0.5316	1.254	0.7306
Sample_152	-0.05643	-0.05643	0.3319	-0.2019	0.3786	-0.03134	0.3252	0.1383	0.2147	0.2793	2.326	1.845	-0.05643	-1.326	-1.115	-0.8506	-1.138	-2.108	-1.919	-0.7144	-1.621	-1.138	-0.8871	-0.17	-0.7306	-1.534	-0.9641	0.6588	-1.695	0.03134	0.08156	1.213	-1.845	-0.8506	1.326	0.5172	-1.356	0.3121	-0.234	-0.7807	-0.132	-0.7978	-1.115	0.17	0.6433	2.108	-2.241	-0.01253	0.7722	-0.17	1.047	-1.67	-0.132	0.7978	0.1067	-1.026	-1.058	0.006267	-0.8871	0.7388	0.6903	-0.5244	-0.5607	-0.9059	-0.6053	2.241	-1.388	-1.047	-0.3385	-0.2083	-0.6824	-0.6666	-0.6357	-0.1067	0.5461	-0.3651	1.457	1.67	0.3786	0.6357	0.5029	-0.5316	1.188	0.05643	-0.8871	-0.3651	-0.1067	-0.9443	-0.2211
Sample_49	1.267	1.356	2.807	1.78	0.3319	0.234	1.576	1.919	2.108	-0.7063	0.5316	1.015	0.6511	-0.1573	-0.3786	1.092	-1.24	-1.576	-0.6204	1.188	-1.213	-0.5903	1.495	-0.2793	0.2469	-0.4888	-0.8687	-0.5903	-0.0188	-0.7144	1.188	2.807	-1.722	1.78	2.108	1.576	-1.282	1.555	-0.5754	-0.2211	-0.5754	0.8871	-0.6666	-1.026	-1.126	-1.24	-1.138	-0.8064	-0.7638	1.015	-0.5607	-0.6666	-1.026	-1.534	-0.02507	-1.919	-1.163	1.138	2.241	-0.7471	1.047	0.7554	2.005	2.432	-1.326	0.132	-2.807	1.534	1.576	-0.8871	1.254	-0.05643	1.576	-0.4468	-0.7978	0.4468	2.005	0.5978	1.163	-0.5244	-0.6983	-0.8327	2.005	0.3651	0.8596	-0.006267	0.5754	0.006267	0.433
