Compound	m.z	RT	Metabolite
1	612.4946	8.64	Known_1
2	614.5083	9.27	Known_2
3	638.5100	8.91	Known_3
4	640.5251	9.50	Known_4
5	642.5410	10.11	Known_5
6	624.4947	9.68	Known_28
7	626.5115	10.22	Known_29
8	652.5257	10.46	Known_10
9	654.5409	9.90	Known_11
10	609.5314	8.73	Known_19
11	611.5479	9.34	Known_20
12	657.5289	9.06	Known_21
13	637.5620	9.62	Known_22
14	639.5780	10.21	Known_23
15	627.5453	14.46	Known_24
16	653.6036	13.41	Known_27
17	608.2944	11.82	Data2_Unknown_1
18	608.4610	8.41	Data2_Unknown_2
19	608.4998	10.23	Data2_Unknown_3
20	608.6298	12.99	Data2_Unknown_4
21	608.7679	11.07	Data2_Unknown_5
22	608.9410	4.04	Data2_Unknown_6
23	608.9411	7.87	Data2_Unknown_7
24	608.9412	7.61	Data2_Unknown_8
25	608.9415	6.48	Data2_Unknown_9
26	608.9415	8.16	Data2_Unknown_10
27	608.9416	5.97	Data2_Unknown_11
28	608.9417	6.82	Data2_Unknown_12
29	608.9424	6.22	Data2_Unknown_13
30	608.9428	8.59	Data2_Unknown_14
31	609.1070	2.57	Data2_Unknown_15
32	609.5012	11.43	Data2_Unknown_16
33	609.5210	12.68	Data2_Unknown_17
34	609.5556	13.43	Data2_Unknown_18
35	609.5930	15.96	Data2_Unknown_19
36	610.1857	7.94	Data2_Unknown_20
37	610.2231	3.19	Data2_Unknown_21
38	610.2605	9.27	Data2_Unknown_22
39	610.2990	4.63	Data2_Unknown_23
40	610.4791	8.03	Data2_Unknown_24
41	610.5085	3.92	Data2_Unknown_25
42	610.5148	10.76	Data2_Unknown_26
43	610.7254	3.19	Data2_Unknown_27
44	610.9634	12.31	Data2_Unknown_28
45	610.9635	12.24	Data2_Unknown_29
46	610.9635	12.36	Data2_Unknown_30
47	611.0263	2.55	Data2_Unknown_31
48	611.0525	9.36	Data2_Unknown_32
49	611.0537	9.32	Data2_Unknown_33
50	611.1657	4.75	Data2_Unknown_34
51	611.2480	4.33	Data2_Unknown_35
52	611.3025	11.82	Data2_Unknown_36
53	611.3921	4.99	Data2_Unknown_37
54	611.4477	4.86	Data2_Unknown_38
55	611.4985	9.33	Data2_Unknown_39
56	611.5127	13.33	Data2_Unknown_40
57	611.5154	13.19	Data2_Unknown_41
58	611.5182	13.30	Data2_Unknown_42
59	611.5358	13.10	Data2_Unknown_43
60	611.5362	13.31	Data2_Unknown_44
61	611.5376	13.26	Data2_Unknown_45
62	611.5399	11.11	Data2_Unknown_46
63	611.6086	16.80	Data2_Unknown_47
64	612.0406	9.35	Data2_Unknown_48
65	612.2844	3.92	Data2_Unknown_49
66	612.3145	5.28	Data2_Unknown_50
67	612.3706	2.56	Data2_Unknown_51
