Compound	m.z	RT	Metabolite
68	612.4682	3.80	Data2_Unknown_52
69	612.4879	3.73	Data2_Unknown_53
70	612.4879	3.75	Data2_Unknown_54
71	612.4889	3.32	Data2_Unknown_55
72	612.5278	10.74	Data2_Unknown_56
73	612.5698	12.62	Data2_Unknown_57
74	612.5702	12.86	Data2_Unknown_58
75	612.9715	3.79	Data2_Unknown_59
76	613.1817	5.37	Data2_Unknown_60
77	613.2321	3.19	Data2_Unknown_61
78	613.2631	4.86	Data2_Unknown_62
79	613.4602	3.37	Data2_Unknown_63
80	613.5620	9.62	Data2_Unknown_64
81	613.7332	3.19	Data2_Unknown_65
82	614.3000	4.27	Data2_Unknown_66
83	614.4099	3.52	Data2_Unknown_67
84	614.4687	2.85	Data2_Unknown_68
85	614.5845	13.00	Data2_Unknown_69
86	615.1408	7.93	Data2_Unknown_70
87	615.3025	12.15	Data2_Unknown_71
88	615.3445	3.48	Data2_Unknown_72
89	615.3676	3.94	Data2_Unknown_73
90	615.4234	5.53	Data2_Unknown_74
91	616.2073	3.17	Data2_Unknown_75
92	616.3039	2.59	Data2_Unknown_76
93	616.3157	4.69	Data2_Unknown_77
94	616.3938	8.09	Data2_Unknown_78
95	616.5859	12.12	Data2_Unknown_79
96	616.9395	4.63	Data2_Unknown_80
97	616.9398	7.90	Data2_Unknown_81
98	616.9400	5.12	Data2_Unknown_82
99	616.9401	5.45	Data2_Unknown_83
100	616.9402	5.77	Data2_Unknown_84
101	616.9406	3.94	Data2_Unknown_85
102	617.1832	4.75	Data2_Unknown_86
103	617.3028	11.68	Data2_Unknown_87
104	617.4089	4.99	Data2_Unknown_88
105	617.4975	8.33	Data2_Unknown_89
106	617.5034	14.28	Data2_Unknown_90
107	617.5251	12.71	Data2_Unknown_91
108	618.3109	12.15	Data2_Unknown_92
109	618.3313	5.27	Data2_Unknown_93
110	618.5044	8.54	Data2_Unknown_94
111	618.6013	12.57	Data2_Unknown_95
112	618.6165	13.20	Data2_Unknown_96
113	619.1988	5.36	Data2_Unknown_97
114	619.2637	3.34	Data2_Unknown_98
115	619.3446	2.86	Data2_Unknown_99
116	619.3653	3.54	Data2_Unknown_100
117	619.4780	3.94	Data2_Unknown_101
118	619.5132	8.93	Data2_Unknown_102
119	619.5191	14.66	Data2_Unknown_103
120	619.5407	12.99	Data2_Unknown_104
121	619.5761	13.33	Data2_Unknown_105
122	619.9791	3.96	Data2_Unknown_106
123	620.2943	11.29	Data2_Unknown_107
124	620.3859	6.67	Data2_Unknown_108
125	620.4221	8.14	Data2_Unknown_109
126	620.4671	3.49	Data2_Unknown_110
127	620.5595	11.45	Data2_Unknown_111
128	620.6165	12.85	Data2_Unknown_112
129	620.7677	10.81	Data2_Unknown_113
130	620.7961	11.29	Data2_Unknown_114
131	621.0783	2.96	Data2_Unknown_115
132	621.0785	3.33	Data2_Unknown_116
133	621.3017	11.77	Data2_Unknown_117
134	621.3059	5.29	Data2_Unknown_118
135	621.4402	5.53	Data2_Unknown_119
136	621.4714	8.51	Data2_Unknown_120
137	621.5412	12.14	Data2_Unknown_121
138	621.5562	13.38	Data2_Unknown_122
139	621.5928	13.75	Data2_Unknown_123
140	622.2380	4.47	Data2_Unknown_124
141	622.2384	4.52	Data2_Unknown_125
142	622.3101	12.47	Data2_Unknown_126
143	622.4711	13.46	Data2_Unknown_127
144	622.5748	12.04	Data2_Unknown_128
145	622.5901	14.46	Data2_Unknown_129
146	622.8114	12.47	Data2_Unknown_130
147	623.1221	2.80	Data2_Unknown_131
148	623.1665	4.97	Data2_Unknown_132
149	623.2473	4.26	Data2_Unknown_133
150	623.3025	11.24	Data2_Unknown_134
151	623.3188	2.65	Data2_Unknown_135
152	623.5467	9.22	Data2_Unknown_136
153	623.5564	12.57	Data2_Unknown_137
154	624.1629	3.06	Data2_Unknown_138
155	624.3100	11.76	Data2_Unknown_139
156	624.4300	3.84	Data2_Unknown_140
157	624.5311	10.09	Data2_Unknown_141
158	624.5389	8.74	Data2_Unknown_142
159	624.6052	14.84	Data2_Unknown_143
160	624.8122	11.78	Data2_Unknown_144
161	624.9792	19.05	Data2_Unknown_145
162	625.1822	5.58	Data2_Unknown_146
163	625.2629	4.68	Data2_Unknown_147
164	625.3182	12.45	Data2_Unknown_148
165	625.3680	7.86	Data2_Unknown_149
166	625.4721	6.26	Data2_Unknown_150
167	625.4755	5.51	Data2_Unknown_151
168	625.5143	11.47	Data2_Unknown_152
169	625.5148	8.79	Data2_Unknown_153
170	625.5261	8.27	Data2_Unknown_154
171	625.5615	9.81	Data2_Unknown_155
172	625.5723	12.85	Data2_Unknown_156
173	625.8204	12.45	Data2_Unknown_157
174	626.4469	4.22	Data2_Unknown_158
175	626.4836	4.14	Data2_Unknown_159
176	626.5031	4.02	Data2_Unknown_160
177	626.5036	3.49	Data2_Unknown_161
178	626.5102	9.10	Data2_Unknown_162
179	626.5448	10.11	Data2_Unknown_163
180	626.5467	10.65	Data2_Unknown_164
181	626.6048	6.58	Data2_Unknown_165
182	626.6212	14.66	Data2_Unknown_166
183	626.6213	15.23	Data2_Unknown_167
184	627.0953	3.22	Data2_Unknown_168
185	627.0954	2.98	Data2_Unknown_169
186	627.0959	3.32	Data2_Unknown_170
187	627.1699	3.06	Data2_Unknown_171
188	627.1974	6.25	Data2_Unknown_172
189	627.2788	5.27	Data2_Unknown_173
190	627.4749	3.64	Data2_Unknown_174
191	627.5084	12.97	Data2_Unknown_175
192	627.5089	13.10	Data2_Unknown_176
193	627.5307	12.18	Data2_Unknown_177
194	627.5419	7.94	Data2_Unknown_178
195	627.5423	8.87	Data2_Unknown_179
196	627.9783	3.63	Data2_Unknown_180
197	628.2929	4.50	Data2_Unknown_181
198	628.3849	6.67	Data2_Unknown_182
199	628.4253	3.66	Data2_Unknown_183
200	628.4850	2.98	Data2_Unknown_184
201	628.5120	8.48	Data2_Unknown_185
202	628.5246	9.60	Data2_Unknown_186
203	628.5619	10.67	Data2_Unknown_187
204	628.9727	17.66	Data2_Unknown_188
205	629.0762	3.03	Data2_Unknown_189
206	629.0765	3.32	Data2_Unknown_190
207	629.1834	5.02	Data2_Unknown_191
208	629.2626	2.98	Data2_Unknown_192
209	629.3711	2.39	Data2_Unknown_193
210	629.3832	4.12	Data2_Unknown_194
211	629.4975	8.21	Data2_Unknown_195
212	629.5489	18.88	Data2_Unknown_196
213	629.5492	12.55	Data2_Unknown_197
214	629.5579	8.73	Data2_Unknown_198
215	629.5607	14.83	Data2_Unknown_199
216	629.8727	2.41	Data2_Unknown_200
217	630.4775	3.97	Data2_Unknown_201
218	630.4807	10.22	Data2_Unknown_202
219	630.5264	9.10	Data2_Unknown_203
220	630.5794	12.87	Data2_Unknown_204
221	630.5802	11.31	Data2_Unknown_205
222	631.0223	9.34	Data2_Unknown_206
223	631.1211	2.80	Data2_Unknown_207
224	631.1648	5.00	Data2_Unknown_208
225	631.1991	5.47	Data2_Unknown_209
226	631.2260	2.55	Data2_Unknown_210
227	631.3009	4.50	Data2_Unknown_211
228	631.4866	10.46	Data2_Unknown_212
229	631.5032	12.67	Data2_Unknown_213
230	631.5045	11.95	Data2_Unknown_214
231	631.5137	8.73	Data2_Unknown_215
232	631.5320	15.33	Data2_Unknown_216
233	631.5768	15.24	Data2_Unknown_217
234	631.6117	13.20	Data2_Unknown_218
235	632.0145	8.73	Data2_Unknown_219
236	632.4251	7.74	Data2_Unknown_220
237	632.4611	8.03	Data2_Unknown_221
238	632.4964	10.74	Data2_Unknown_222
239	632.4991	10.23	Data2_Unknown_223
240	633.1456	2.55	Data2_Unknown_224
241	633.1807	5.49	Data2_Unknown_225
242	633.2150	6.26	Data2_Unknown_226
243	633.3806	3.67	Data2_Unknown_227
244	633.5015	10.98	Data2_Unknown_228
245	633.5175	12.97	Data2_Unknown_229
246	633.5217	12.60	Data2_Unknown_230
247	633.5224	11.41	Data2_Unknown_231
248	633.5284	9.34	Data2_Unknown_232
249	633.8754	17.62	Data2_Unknown_233
250	634.0296	9.34	Data2_Unknown_234
251	634.3518	2.55	Data2_Unknown_235
252	634.4016	6.67	Data2_Unknown_236
253	634.4768	8.64	Data2_Unknown_237
254	634.4825	3.79	Data2_Unknown_238
255	634.5139	10.38	Data2_Unknown_239
256	634.6117	13.10	Data2_Unknown_240
257	634.9402	7.63	Data2_Unknown_241
258	634.9412	7.33	Data2_Unknown_242
259	634.9842	3.76	Data2_Unknown_243
260	635.0938	3.03	Data2_Unknown_244
261	635.1657	4.61	Data2_Unknown_245
262	635.1964	6.24	Data2_Unknown_246
263	635.4719	3.36	Data2_Unknown_247
264	635.5125	13.02	Data2_Unknown_248
265	635.5329	14.83	Data2_Unknown_249
266	635.5361	12.86	Data2_Unknown_250
267	635.6083	16.22	Data2_Unknown_251
268	635.6085	16.27	Data2_Unknown_252
269	635.7541	10.33	Data2_Unknown_253
270	636.2849	3.95	Data2_Unknown_254
271	636.4916	9.27	Data2_Unknown_255
272	636.5320	10.98	Data2_Unknown_256
273	636.5489	9.06	Data2_Unknown_257
274	637.1379	2.81	Data2_Unknown_258
275	637.1820	5.00	Data2_Unknown_259
276	637.3760	6.67	Data2_Unknown_260
277	637.4378	5.53	Data2_Unknown_261
278	637.5296	13.37	Data2_Unknown_262
279	637.5339	12.10	Data2_Unknown_263
280	637.5487	15.32	Data2_Unknown_264
281	637.5523	13.26	Data2_Unknown_265
282	637.6239	16.79	Data2_Unknown_266
283	638.3000	4.27	Data2_Unknown_267
284	638.3651	2.93	Data2_Unknown_268
285	638.5466	11.49	Data2_Unknown_269
286	638.5819	12.74	Data2_Unknown_270
287	639.1219	3.92	Data2_Unknown_271
288	639.1974	5.49	Data2_Unknown_272
289	639.5877	13.20	Data2_Unknown_273
290	639.5880	13.15	Data2_Unknown_274
291	640.0022	8.93	Data2_Unknown_275
292	640.5188	3.64	Data2_Unknown_276
293	640.9549	7.72	Data2_Unknown_277
294	640.9549	8.28	Data2_Unknown_278
295	640.9549	8.10	Data2_Unknown_279
296	640.9550	7.12	Data2_Unknown_280
297	640.9551	7.86	Data2_Unknown_281
298	640.9552	7.39	Data2_Unknown_282
299	640.9563	8.41	Data2_Unknown_283
300	641.1106	3.22	Data2_Unknown_284
301	641.1107	2.98	Data2_Unknown_285
302	641.1832	4.59	Data2_Unknown_286
303	641.1916	3.43	Data2_Unknown_287
304	641.2135	6.26	Data2_Unknown_288
305	641.4088	4.97	Data2_Unknown_289
306	641.4906	3.94	Data2_Unknown_290
307	641.5932	10.46	Data2_Unknown_291
308	641.9923	3.92	Data2_Unknown_292
309	642.4410	3.83	Data2_Unknown_293
310	642.4810	3.53	Data2_Unknown_294
311	642.5007	3.17	Data2_Unknown_295
312	642.5414	10.71	Data2_Unknown_296
313	642.6019	12.36	Data2_Unknown_297
314	642.6163	13.01	Data2_Unknown_298
315	642.9382	8.76	Data2_Unknown_299
316	642.9387	9.05	Data2_Unknown_300
317	642.9391	6.49	Data2_Unknown_301
318	642.9392	8.58	Data2_Unknown_302
319	642.9392	7.91	Data2_Unknown_303
320	642.9396	5.97	Data2_Unknown_304
321	642.9397	3.75	Data2_Unknown_305
322	643.1990	5.00	Data2_Unknown_306
323	643.2340	5.66	Data2_Unknown_307
324	643.5407	12.89	Data2_Unknown_308
325	644.2720	3.88	Data2_Unknown_309
326	644.4788	2.73	Data2_Unknown_310
327	644.5055	8.16	Data2_Unknown_311
328	644.6169	12.64	Data2_Unknown_312
329	645.1385	3.90	Data2_Unknown_313
330	645.2142	5.52	Data2_Unknown_314
331	645.2998	2.98	Data2_Unknown_315
332	645.3007	2.65	Data2_Unknown_316
333	645.3950	5.37	Data2_Unknown_317
334	645.5209	12.57	Data2_Unknown_318
335	645.5281	9.18	Data2_Unknown_319
336	645.5560	13.26	Data2_Unknown_320
337	646.0020	8.81	Data2_Unknown_321
338	646.3622	2.16	Data2_Unknown_322
339	646.4765	9.62	Data2_Unknown_323
340	646.4778	9.19	Data2_Unknown_324
341	646.4778	9.25	Data2_Unknown_325
342	646.5130	10.10	Data2_Unknown_326
343	646.5145	10.65	Data2_Unknown_327
344	646.5220	8.75	Data2_Unknown_328
345	646.5753	11.42	Data2_Unknown_329
346	646.6325	12.99	Data2_Unknown_330
347	646.9948	18.37	Data2_Unknown_331
348	647.2304	6.27	Data2_Unknown_332
349	647.2419	8.75	Data2_Unknown_333
350	647.2948	3.64	Data2_Unknown_334
351	647.3105	3.23	Data2_Unknown_335
352	647.3963	3.84	Data2_Unknown_336
353	647.4883	8.71	Data2_Unknown_337
354	647.5080	7.37	Data2_Unknown_338
355	647.5081	8.27	Data2_Unknown_339
356	647.5569	12.35	Data2_Unknown_340
357	647.5719	13.40	Data2_Unknown_341
358	647.5783	5.77	Data2_Unknown_342
359	647.6101	13.10	Data2_Unknown_343
360	648.0178	9.43	Data2_Unknown_344
361	648.2495	9.27	Data2_Unknown_345
362	648.4382	2.31	Data2_Unknown_346
363	648.4922	10.22	Data2_Unknown_347
364	648.4953	9.72	Data2_Unknown_348
365	648.4983	4.11	Data2_Unknown_349
366	648.5273	10.12	Data2_Unknown_350
367	648.5284	10.67	Data2_Unknown_351
368	648.5860	12.13	Data2_Unknown_352
369	648.6113	12.97	Data2_Unknown_353
370	648.6483	13.41	Data2_Unknown_354
371	649.2503	5.49	Data2_Unknown_355
372	649.2505	5.68	Data2_Unknown_356
373	649.2622	4.77	Data2_Unknown_357
374	649.2953	11.79	Data2_Unknown_358
375	649.4878	3.60	Data2_Unknown_359
376	649.5001	9.34	Data2_Unknown_360
377	649.5239	7.93	Data2_Unknown_361
378	649.5240	8.85	Data2_Unknown_362
379	649.5488	15.19	Data2_Unknown_363
380	649.5721	12.64	Data2_Unknown_364
381	649.7699	11.10	Data2_Unknown_365
382	649.9876	3.58	Data2_Unknown_366
383	650.2507	8.74	Data2_Unknown_367
384	650.3721	6.67	Data2_Unknown_368
385	650.5106	9.88	Data2_Unknown_369
386	650.5457	10.27	Data2_Unknown_370
387	650.7609	10.02	Data2_Unknown_371
388	650.9362	7.23	Data2_Unknown_372
389	650.9364	7.28	Data2_Unknown_373
390	650.9365	7.99	Data2_Unknown_374
391	650.9369	6.51	Data2_Unknown_375
392	650.9374	8.44	Data2_Unknown_376
393	651.0653	3.32	Data2_Unknown_377
394	651.2252	3.14	Data2_Unknown_378
395	651.3572	2.76	Data2_Unknown_379
396	651.4116	5.37	Data2_Unknown_380
397	651.5091	12.86	Data2_Unknown_381
398	651.5299	11.10	Data2_Unknown_382
399	651.5307	11.42	Data2_Unknown_383
400	651.5309	11.94	Data2_Unknown_384
401	651.5398	8.70	Data2_Unknown_385
402	651.5649	15.73	Data2_Unknown_386
403	651.5878	12.99	Data2_Unknown_387
404	651.7264	3.17	Data2_Unknown_388
405	651.8595	2.77	Data2_Unknown_389
406	651.9618	7.76	Data2_Unknown_390
407	651.9627	8.22	Data2_Unknown_391
408	651.9633	12.65	Data2_Unknown_392
409	651.9635	13.26	Data2_Unknown_393
410	651.9636	16.74	Data2_Unknown_394
411	651.9636	12.24	Data2_Unknown_395
412	651.9638	13.59	Data2_Unknown_396
413	651.9639	16.57	Data2_Unknown_397
414	651.9640	12.90	Data2_Unknown_398
415	651.9641	13.10	Data2_Unknown_399
416	651.9642	13.51	Data2_Unknown_400
417	651.9643	15.85	Data2_Unknown_401
418	651.9643	13.20	Data2_Unknown_402
419	651.9644	13.41	Data2_Unknown_403
420	651.9644	12.60	Data2_Unknown_404
421	651.9647	12.48	Data2_Unknown_405
422	651.9649	15.90	Data2_Unknown_406
423	651.9650	16.46	Data2_Unknown_407
424	651.9651	16.49	Data2_Unknown_408
425	651.9652	16.61	Data2_Unknown_409
426	651.9653	13.88	Data2_Unknown_410
427	651.9659	16.96	Data2_Unknown_411
428	652.3042	11.78	Data2_Unknown_412
429	652.5254	9.34	Data2_Unknown_413
430	652.5607	10.30	Data2_Unknown_414
431	652.5619	10.80	Data2_Unknown_415
432	652.7772	11.08	Data2_Unknown_416
433	653.5155	14.52	Data2_Unknown_417
434	653.5938	10.46	Data2_Unknown_418
435	654.2334	3.11	Data2_Unknown_419
436	654.4808	10.23	Data2_Unknown_420
437	654.5343	3.89	Data2_Unknown_421
438	654.5382	10.42	Data2_Unknown_422
439	654.5420	10.98	Data2_Unknown_423
440	654.5768	10.79	Data2_Unknown_424
441	654.7353	3.11	Data2_Unknown_425
442	655.1024	3.41	Data2_Unknown_426
443	655.3626	3.70	Data2_Unknown_427
444	655.5319	15.01	Data2_Unknown_428
445	655.6117	12.98	Data2_Unknown_429
446	656.3039	12.12	Data2_Unknown_430
447	656.3081	4.92	Data2_Unknown_431
448	656.3342	2.58	Data2_Unknown_432
449	656.4568	4.00	Data2_Unknown_433
450	656.4956	3.75	Data2_Unknown_434
451	656.4988	10.14	Data2_Unknown_435
452	656.5153	3.32	Data2_Unknown_436
453	656.5197	8.41	Data2_Unknown_437
454	656.5570	10.39	Data2_Unknown_438
455	656.5935	11.41	Data2_Unknown_439
456	656.9968	3.76	Data2_Unknown_440
457	657.1416	2.98	Data2_Unknown_441
458	657.4539	6.97	Data2_Unknown_442
459	657.4862	3.38	Data2_Unknown_443
460	657.5172	14.13	Data2_Unknown_444
461	657.5176	12.86	Data2_Unknown_445
462	657.5201	12.23	Data2_Unknown_446
463	657.5471	15.47	Data2_Unknown_447
464	657.6868	16.22	Data2_Unknown_448
