SET_ID	RankSumP
SET_303	6.27e-07
SET_304	0.4
SET_305	0.265
SET_306	0.816
SET_307	0.000388
SET_308	0.605
SET_309	0.674
SET_310	0.0153
SET_311	0.861
SET_312	0.153
SET_313	0.114
SET_314	0.0763
SET_315	0.119
SET_316	0.654
SET_317	0.102
SET_318	0.63
SET_319	0.141
SET_320	0.000441
SET_321	0.119
SET_322	0.367
SET_323	0.307
SET_324	0.0622
SET_325	0.654
SET_326	0.753
SET_327	0.561
SET_328	0.307
SET_329	3.95e-13
SET_330	1.98e-13
SET_331	0.0169
SET_332	0.109
SET_333	5.57e-11
SET_334	6.38e-24
SET_335	8.9e-15
SET_336	1.24e-11
SET_337	1.36e-11
SET_338	9.29e-11
SET_339	2.12e-10
SET_340	9.55e-11
SET_341	1.46e-11
SET_342	6.94e-06
SET_343	2.06e-06
SET_344	1.51e-06
SET_345	0.0594
SET_346	0.0329
SET_347	0.952
SET_348	6.53e-07
SET_349	0.462
SET_350	0.00486
SET_351	0.197
SET_352	1.61e-09
SET_353	0.094
SET_354	0.207
SET_355	0.247
SET_356	2.39e-15
SET_357	2.09e-14
SET_358	8.29e-10
SET_359	6.62e-09
SET_360	2.35e-05
SET_361	0.000581
SET_362	1.81e-12
SET_363	1.11e-05
SET_364	1.68e-11
SET_365	8.03e-33
SET_366	7.07e-28
SET_367	2.05e-32
SET_368	3.53e-29
SET_369	9.53e-30
SET_370	4.94e-30
SET_371	6.27e-31
SET_372	0.003
SET_373	0.794
SET_374	0.417
SET_375	0.0161
SET_376	2.08e-21
SET_377	1.31e-20
SET_378	1.99e-15
SET_379	3.38e-13
SET_380	1.11e-18
SET_381	2.27e-13
SET_382	1.62e-41
SET_383	2.33e-13
SET_384	4.09e-13
SET_385	1.95e-13
SET_386	2.74e-13
SET_387	3.55e-12
SET_388	4.2e-11
SET_389	1.32e-10
SET_390	2.58e-11
SET_391	5.36e-13
SET_392	1.04e-12
SET_393	7.58e-13
SET_394	2.49e-12
SET_395	5.04e-12
SET_396	3.02e-11
SET_397	0.899
SET_398	0.00285
SET_399	6.81e-05
SET_400	0.000265
SET_401	0.00205
SET_402	9.02e-05
SET_403	0.000508
SET_404	0.00101
SET_405	0.000404
SET_406	0.909
