Compound	m.z	RT	Metabolite	BPP01	HPP01	60517	52426	70281	33057	92102	14256	86732	29343	41236	93663	25319	43268	37702	55914	5676	18614	41252	87843	1774	86331	BPP02	HPP02	38033	28158	95584	41338	61915	74121	69462	27843	10203	43070	33471	87483	82037	50574	55993	76905	67334	84556	71320	82805	BPP03	HPP03	51313	58552	83484	83852	44527	84353	58569	7024	90778	91392	43277	37463	59417	3970	1988	21669	46461	14048	4544	9871	BPP04	HPP04	9143	50683	50069	88313	38215	3565	88611	93855	79381	38807	59391	48975	31878	42394	27071	13380	37660	89443	18543	19844	BPP05	HPP05	64520	77602	82435	23359	26288	73289	70939	82651	70551	52795	46726	79150	31498	31665	76721	32016	45871	42991	2190	22553	BPP06	HPP06	57556	42316	19466	66309	71692	71938	32830	81316	93427	72860	19045	85279	42966	33398	45989	4503	4833	8276	73407	25287	BPP07	HPP07	79056	1488	95355	81822	35538	85108	58292	89129	23632	45723	14463	36865	56095	75694	45590	75885	22282	83326	29010	2955	BPP08	HPP08	572	99473	70860	34871	8308	88820	29827	18282	15710	59113	82620	9419	75315	85066	70231	53615	37084	41997	27290	7222	BPP09	HPP09	11404	17689	52456	34348	92807	16806	91028	13544	52107	84373	26369	79621	74647	14930	37147	47234	95186	139	10805	24917	BPP10	HPP10	90914	6752	94239	73677	52174	88175	37694	9120	83807	5222	38388	92782	10582	59182	77206	82745	21313	3532	21032	3148	BPP11	HPP11	6944	98445	1877	99175	71577	25472	56231	14481	42469	40567	79652	85677	21516	9095	71098	24053	90437	47183	90719	28639	BPP12	HPP12	47329	23202	38430	38153	68793	96097	19358	36974	33688	6406	5299	3803	83286	83245	35563	28277	32065	4410	99860	41441	BPP13	HPP13	19680	26164	15931	20094	11553	34706	5603	73485	71844	7517	17574	9823	70603	97993	22351	53957	10268	46990	32881	65936	BPP14	HPP14	94030	79339	59143	27159	66292	42116	30373	2102	47201	90749	74842	32432	74758	95713	15886	5307	20650	86540	32287	71074	BPP15	HPP15	69738	14407	79183	38443	42951	63343	60034	97944	46028	40752	54028	6480	58731	93468	8572	1238	61450	26942	40856	74259	BPP16	HPP16
305	622.4438	6.77	C24:0 PC	846442	828077	858523	868081	868475	883721	837261	836875	820569	900445	892329	870594	811642	827842	842919	876199	877748	873851	843611	887455	881763	853890	873032	855431	850403	833799	844850	848371	859713	830175	811267	826972	826688	824057	832957	869970	838501	852613	842816	868472	832162	830621	853631	864592	862699	800610	833977	973728	835775	892686	836269	792933	825034	902936	823516	798031	864121	823262	810817	814144	840166	880886	849166	832573	863039	760153	818970	790282	834496	861430	822120	864820	819329	912678	876439	906277	845000	863603	808989	875970	865835	849809	938770	903563	880759	924476	853421	837276	868844	887672	854344	870708	888014	901976	909333	886613	912415	876780	845879	887270	846295	895147	804681	843328	830102	919475	904729	886394	844739	876233	886843	868580	863904	816940	862740	899987	843986	876869	875124	817929	828440	820432	830939	852565	893839	878864	826036	864679	798708	841774	806133	882627	795567	812963	859388	843344	879576	845236	844185	896039	862067	859324	840864	892767	843332	853861	855301	886486	838628	908413	863812	850433	885554	849249	876493	891223	904576	850584	919588	848313	911227	884238	808119	831691	854611	842198	858993	894322	914475	860897	845523	806750	870959	830983	862053	830326	857299	881563	801149	837392	962759	915638	890987	916484	848199	939598	830449	870061	926343	852131	820131	867090	822456	854573	880212	1024882	983005	952334	893728	888215	919191	894840	886721	933066	945835	970485	901400	956524	894477	978129	913144	919451	949586	872962	941315	941437	945885	922450	922805	917248	939630	935235	894384	953592	956030	909436	936137	937891	932691	930227	919375	989692	957423	971341	954723	946063	969612	985590	960565	926660	1017564	958542	870407	859868	874532	1009492	871563	914188	940169	936463	935473	922660	1010735	961665	879471	873928	925765	908628	896445	884688	969030	884071	930077	936166	899194	896525	960648	885707	849728	818413	878632	854253	962318	853906	932985	902880	875196	974694	975572	902346	900111	961179	928666	898849	934963	838758	986004	965625	870318	911988	883991	832680	919640	909935	997260	885332	890844	945826	992423	873668	950097	890015	827368	908229	860430	942931	947327	820381	842128	944668	840351	816123	887195	890514	774066	902832	898316	862465	861758	849156	749717	926715	771690	773994	899053	843726	979774	870243	902075	819284	966275	819934
202	494.3241	4.67	C16:1 LPC	256241	279877	199354	370731	187756	206194	121508	257299	216567	213493	223159	281047	184084	278473	322550	246595	467110	208936	144650	185836	292084	209281	253143	271367	279480	187650	123106	258898	332868	255019	195362	140385	205457	235521	306927	211009	177734	714374	322857	434051	303617	282868	286468	286881	240979	269124	317380	290096	310815	246109	118670	274895	316296	162515	260879	229651	331670	206281	205814	272571	275324	427776	261786	245348	413498	284398	235193	270298	120120	239648	174651	234905	325243	196098	263058	285514	391674	159170	201929	149965	335407	275428	236094	424448	41308	193765	228130	225302	240613	293241	642210	105511	147598	240139	263538	192752	335959	453746	139577	155137	627040	241541	442489	335854	259062	167476	523566	234718	242313	236097	252592	280335	251457	269544	285731	271194	268770	295621	425093	314530	421475	250169	296801	114383	253798	468606	275312	157949	248516	348944	203509	198934	234125	236904	593239	252462	302786	311954	233621	142607	131611	207493	289477	144495	246372	931748	265979	365106	189004	218414	202896	165402	152976	143150	259444	276260	204192	252795	199321	258647	296544	183139	211237	231078	343746	252836	176362	201888	208791	201953	290518	897667	237100	240727	457426	252234	236689	258390	280081	222421	223198	213565	157322	229932	202429	153822	149471	131594	116214	420116	167066	336790	192062	415809	171704	192196	298609	208914	236057	251498	174633	142356	123610	217999	330627	451916	229194	368250	162954	220842	143226	416510	231887	223317	115023	261410	216083	186771	418738	253710	245538	265016	283395	204530	385797	400734	261703	348428	713922	442468	224151	195023	290748	287143	199539	412931	202932	155761	301064	375641	258291	259238	211448	249883	177787	243085	264670	91413	325192	216743	191977	184908	484977	199302	158660	309231	202718	349824	205974	293151	369680	127228	328788	381236	227825	256156	309882	318922	221848	272898	325811	195919	291979	258642	263839	148089	109265	361007	237394	147027	159325	194695	203803	172693	280023	129272	272023	277516	392493	310913	370584	240591	289373	300860	204729	312206	311150	265834	123452	365074	343465	433656	515046	378000	154197	213756	213311	228321	272514	293185	356967	214439	177818	492014	190032	214947	304209	366610	191326	166387	168517	187218	268527	181168	343366	128407	94074	76898	99301	281530	243923	274416
232	496.3397	5.04	C16:0 LPC	20059679	13431251	9619652	12710919	8620295	13031819	11996604	14045207	9566581	10162753	10180185	11401537	14047813	11708851	15260694	13059028	14271994	11420633	8097282	13702964	15148121	13289479	20076046	13597688	9636828	10595446	6856882	10973364	13568074	13505270	11245562	10279515	13142968	13458982	15419379	12838110	8893034	24783329	15181469	17905674	14023567	11318579	11728840	14838188	19047126	12636133	15552582	16188642	13242290	12947435	9362434	12270963	12446337	10621313	13731661	9090168	16179784	10608454	11616748	11802817	14247662	13551207	13129324	12412280	17350664	12730400	19227459	12400283	11596907	13938612	11879249	13880161	16597615	13016852	14901757	17755207	14719500	7155580	11188141	5464672	16406216	9974804	18140748	18860980	4943373	6757579	13274951	8864054	19061122	13487896	20404235	6772553	11747920	16177772	15767657	11299076	16581261	12099214	11402456	11160392	16335227	14690081	14090822	17097721	14545820	12768135	20599190	13328254	11332244	13657730	19834311	12836954	10574368	11712133	9514009	10105222	12927551	10950933	16010705	15008795	17019581	7394660	14639131	8283820	11462040	14460968	13512893	8418397	10448020	11501697	10578171	9219643	18531931	12114435	16176285	10650974	12967596	13450574	11566224	10168171	11148588	11569643	13347571	9968343	11090872	18595925	12210906	13153667	12906858	13879287	16628176	8589996	12091420	10853290	19732688	13037093	12051379	15068670	10331591	14621328	12349062	10121154	12581386	10999550	13408766	12274300	10697888	8066661	11426616	12216568	12820203	13814536	12354637	12595892	13467731	11166347	20394193	13455024	14311448	10689074	14679791	11644697	9163926	12136205	10204302	8201100	9951085	7460038	10254164	18717083	9917390	17345279	9654463	11528065	11248162	10854712	13637152	8246439	19719868	12787231	10488242	8773362	8693526	10295329	13972609	13524244	13949851	19502487	9642067	6175309	8160384	14041375	9617319	14185064	6262166	14633879	10350949	12891718	12984676	12111869	19726994	12601874	12354109	12618723	14574429	17775157	12761112	14668281	22349604	15190204	12759398	11557296	15618541	15435367	14033038	16585019	13399450	12067021	16574656	13607534	14857326	14766604	18153658	11994202	10753696	18767067	14063173	3791450	15273976	12516347	10110993	9488415	20704558	9151906	10397315	17609555	12621707	14292401	9710542	11758836	16046475	7508623	10562084	15662677	18419904	11681529	9320173	14497622	11458390	15215207	22037836	13693806	10645900	10585965	11050320	11673290	6653398	14499855	14956518	9381736	10527438	10824444	10417114	8598643	16243360	9658531	21055459	12898916	21959398	13525562	14745495	11032843	10560768	12024091	13092700	10985920	11868972	10321243	9489532	11652192	10907178	14018967	18776264	18052040	9654418	10720596	16388687	8269838	19066120	14130969	13162305	11119349	8829287	17841438	11557667	10349804	14088039	16175452	13581565	8139892	8304449	7636649	14063852	10410150	10411654	10139853	6473349	5819621	4839771	12977781	19295807	12795689
214	520.3393	4.87	C18:2 LPC	4749530	5312719	3062255	5125678	1936030	9224144	6426344	4676469	3874107	5743247	4686239	7290866	3837299	6204809	9952407	5225712	6828211	4390862	3466983	5861934	4606787	7100450	4842737	5463544	3946176	2739550	2306929	10461924	4766774	4901499	4976145	3945020	6251295	5918853	6007655	4913513	5689072	4289114	7264712	7808941	5849088	5012348	8294701	5426479	4804785	5199896	7112297	5837671	7575947	8818992	5538063	6405454	4482634	6788831	3808126	4166458	3956800	3273903	8894017	4989775	8289346	6181485	7768147	10060927	7986397	4734010	4869868	5234679	4128092	7479612	2640257	4944538	8173031	10762143	7226154	9969119	5338114	1783968	4624378	1824155	4712727	4450674	8891798	4731324	1338854	2399850	8758525	2496572	4613700	5369955	6016106	2518847	5773398	8878140	6112061	7280084	4697379	2807739	6393494	5268866	6124082	5000610	4588820	10275848	4999209	6871433	10118669	4554243	4872809	4781713	4856051	5035841	7107802	5003512	2677450	2737957	10146495	4851919	8367258	4176261	5468650	2886716	8012459	2829009	6675708	6056379	3976784	3977801	2781707	2858250	3525993	4918452	4493928	4845117	7664878	4843056	3056572	4052088	2889240	5173851	7900993	4256249	4078566	7204385	11009733	5842026	4677664	6473094	3312893	4549342	7431577	3670414	5950712	6420795	4840303	5288882	8483790	4611175	2738837	5504906	5837587	2823809	5440456	3100565	8527861	7131620	4246290	3548063	2569605	5845610	4998012	7867736	5844794	6027105	4986524	4975196	4687914	5120235	4894814	5246946	5647266	4400160	5473271	4939289	4184142	2261452	4280425	4198339	3245459	4760729	2415472	4161086	3464218	2590112	6586527	4572256	4165163	2745635	4952154	5391915	5313335	2804884	3149797	2329099	4939331	6328980	4281322	5082373	2958117	1941871	4144739	4495638	6780633	4447767	2114573	3935297	4870954	6053244	3830848	2798258	4790323	5128434	3602983	3467764	6013080	8885696	8533223	5577301	5581712	4930671	2846723	8195630	2925914	6816814	4442697	4021356	4432226	5731912	4009061	4016634	6558932	4229354	4325177	5165814	6295890	7621767	6087536	1571946	8617473	4724011	4876516	3879200	7291897	3675018	7002331	3768542	5709047	4710041	3320979	2725417	4888469	3871838	4131540	6288475	4744628	5256169	4350539	4015198	4829891	7506796	8531734	4714531	3020315	3392399	5359899	5365479	2218015	8981517	3132748	3106170	5027951	5716551	6152825	2812411	6361520	3394946	4999003	5338716	6442416	5898264	6579808	3521161	3406426	2239333	7519040	3616443	3209161	3912626	3770564	4741657	3285560	6111373	11304378	4137915	3744504	6431686	8600718	2075696	4737953	5687810	4475420	7033680	4301104	4721430	3392593	3706440	4450245	5160514	3845850	4099615	6208891	1966176	3485148	4136113	3488648	16381491	1929954	2349018	2155703	3716566	4706002	5498559
248	522.3553	5.23	C18:1 LPC	4008422	3730297	2052548	3529082	1332447	4463288	3167253	4010544	2171698	3269086	2994196	3549362	2810037	3898273	4771875	3799233	5522450	2962209	1933643	2528432	3605066	3347568	3907633	3648139	3030802	2297705	1306970	5474366	3430965	3592592	3020558	2759474	3236943	3852183	3252589	3655835	3393558	6131398	4640518	5734427	4449832	3425817	6099698	3746675	4035938	3625806	4816773	4984420	4858554	4737242	2987012	3649299	3326043	3715275	2934452	2796873	3877241	2566953	4250459	2928108	5534660	4145521	4644197	4930499	5628478	3849766	4031603	3496018	2807253	4238408	2158836	4002232	4657081	5032858	4111810	4440086	5708795	1782794	2912631	1487258	3837541	3175629	5471589	4118391	1134496	2231868	4685778	2191278	3788214	3833569	6287365	1701587	3490247	4257957	4086024	4135057	4672167	3148495	3018778	3062171	6177058	3712055	4848106	4969507	3434532	3953560	6023041	2872455	3001300	3622851	3967309	3550410	4045319	2930894	2256995	2443799	4989513	3314297	6112682	3105848	3813609	1644070	4097749	1660419	4581638	3613982	2408122	2554705	3190433	2597466	2505479	3474260	3803108	3368904	7143018	3576377	2521095	2628834	2441060	3162239	3948843	3309869	3119634	2984086	5495150	7852533	2943385	4853312	3659126	3398772	5117176	2703666	3450243	3472205	4099006	3518249	6207666	3477162	2697741	4528210	4143482	2203359	3099280	2568180	5201104	4139891	1863876	2238404	2078130	3789514	3460990	7306518	4073043	3976468	4443317	3108650	3941030	3660101	3242757	2893333	4475083	2359271	2970727	4156908	2469426	1649658	2333528	2375513	1837665	3423537	1802509	2843083	2677197	2368440	3434137	2804086	3301691	1736737	4036110	3618449	3245344	1906665	2450498	2001753	3477219	3658352	2858585	4404684	1991627	2201059	2551549	3853249	2869896	3584213	1441886	3254854	2783815	4033810	2528009	2554743	4146321	3588609	3199819	2493277	3501594	5615645	5225523	4500116	5857817	5376280	2297090	4968797	2522783	4313318	2240664	3920788	2865253	3957267	3242592	2979250	4108677	2858601	3631998	3336656	3578423	5964302	3623421	1572589	4459983	3121768	2855793	3516777	8366199	2524760	3604622	3700712	4117164	3269732	2274013	2688651	4816556	2631014	3338500	4314489	3931667	3444596	4535835	4330929	3350196	5182141	7592270	4116132	2216434	2913852	3211275	3265343	1416301	6878004	3254076	2876195	3297904	3915161	5114328	2335612	4701281	2585282	4297114	3672897	5073700	4043615	4622816	3265391	2678463	1640238	4459917	3171898	2712932	2511094	2458295	3568155	2537303	4760732	6858842	3278982	2130136	3820889	5064118	2085398	4185629	3852541	3985010	3613372	2717586	4145584	2743739	2537251	3700465	3273726	2453671	2272092	2907522	1675070	2998846	4218701	2512410	5772915	1173925	1701598	1474922	2508536	4020286	3853214
278	524.3709	5.64	C18:0 LPC	8068807	4806195	4051927	4192400	2238855	5726966	5509640	4476577	2245611	4286880	3784200	3586837	5960998	4881231	5057533	5341272	4760040	4182585	2583542	5379581	5354084	4331462	7894369	4769043	3777839	3559265	1848248	3929601	4820862	5517147	5010440	3725262	4485071	4643558	6872596	4923348	3520202	6231655	5526012	5319252	6032984	3992346	5971147	4540188	7906375	4375672	5933578	4969615	5365560	4585811	3900903	4398119	3613072	4147806	5794199	3329969	6372992	3428705	5442110	3571390	6642121	3703625	4333395	5026732	6111634	4235583	7711386	4511130	4573685	4432575	3029711	5275900	7257069	6370859	6070046	5988550	4662758	2402581	4269807	1539399	6333100	3538909	6779707	6241547	1484492	2359294	4646369	2581731	7505983	4678567	5129834	2073870	4306044	5831908	6770245	4512062	6808128	3546229	3549400	3555585	4667764	6321494	4751093	5586770	4930874	3960287	6531528	4390125	4876772	5630979	7813830	4501614	3906805	4103740	3067637	3606518	5221028	3724808	5976606	5191440	6929748	2606570	5649475	2970243	3538099	5163289	4838796	3066479	3974622	3569153	3853674	3958165	7942461	4604843	6146212	3450748	4620960	4985476	4223185	3751157	4337035	4668690	4708196	3936022	4877388	5399408	4080193	4371528	5705745	4171902	5599108	2727786	4854240	4102982	7984459	4293275	5213787	4829282	4055719	6065123	4122136	4165652	4824579	4406064	3982517	4625698	3765765	2437045	3639560	5454553	4747431	4150838	4809353	4738406	2926652	3783481	8894586	5030214	3871914	3489801	7750485	3855688	3071780	5080536	3403252	3376561	3977325	2748634	3870357	6112679	3769128	4995342	2859750	3602197	4051121	3752692	4905856	3242809	7775555	4451835	3400510	3359267	2800698	3458827	6498660	4141566	3728935	6034257	3786267	1982692	2728110	4913397	3640208	5406025	2130678	5830800	3184418	4792157	3081877	3801939	8251265	4431696	5303548	4454468	4282285	6456742	5160903	5742306	6053603	4461929	4497615	4734598	5002465	5019570	4023499	4741268	4648472	5251289	6522942	4959597	4999246	4669423	7072307	4250713	3655382	9054943	4531217	1787617	6631784	4429401	3426650	3004710	6444773	2327140	3169778	6934533	5055424	4240243	3234890	5345121	5325473	2861200	3358816	5215177	7756093	4090879	2874628	6889473	3259524	5154818	9308565	5223951	2770873	3426280	3680346	4764651	2297838	5761392	4589864	2832966	3699573	4338089	4287087	3159968	5842930	2878688	8162760	4673790	8528807	4887673	4030237	3318855	3766290	2263919	5140159	3751672	4364918	3364427	4210277	3656434	3043597	4029909	7161017	5030597	3783578	3551576	6483094	2815235	7701517	4888266	3574577	3184046	3153712	6201191	4645247	3327698	6033251	4322266	4902589	3010066	2840009	2043105	5433039	4348526	3475927	6155818	2206246	1784922	1568553	4817921	7934746	4757154
208	542.3215	4.75	C20:5 LPC	82840	94438	53539	113711	26108	236265	158104	99987	79620	112729	113073	187264	83925	149393	260881	130198	159011	95342	58760	143950	103886	194910	109086	120276	102266	56679	38945	294268	122565	115214	127705	95160	164477	169589	162958	120649	156473	100398	202396	214161	162925	130364	236799	142777	127117	133673	195818	151745	198950	261201	172605	179482	133626	200931	82919	105521	94478	78567	265310	154281	265658	187558	248896	309972	239879	126656	125262	145891	106293	231180	52037	131052	253105	347201	222076	315231	166664	15431	130912	32187	137268	126996	265354	152768	13345	49162	269958	52886	139874	152095	129644	34587	124702	215083	142529	193055	105418	52983	173274	120920	142196	131644	116607	292052	113196	177800	292688	131254	119490	129702	106007	128302	198667	133330	51368	56573	307819	129261	243436	96848	118480	41200	239987	46899	202441	169501	85555	112267	55772	57984	75678	133494	111633	101559	210417	135032	78381	96847	72917	154278	259780	137708	102715	238379	331098	184220	144192	188705	90061	122017	242703	95963	177709	194910	148790	149840	275711	137696	72532	141700	165495	57110	148260	79469	246210	212197	96413	91172	51756	167492	123239	215986	168880	177669	127177	123968	86325	104315	54395	175508	195537	144476	184047	153133	112462	35209	134401	140530	92793	161594	57953	121996	72893	65847	215325	71863	110312	67051	137081	129905	158155	62534	83865	49048	138726	196559	123094	177618	63370	29004	118358	121066	208602	108723	27875	119781	154141	193407	90612	62308	168821	149087	91538	83352	157903	295013	280093	139001	187177	133828	76930	274614	66304	212548	123168	124676	113377	181634	114123	116165	215747	110303	147785	158277	215482	231664	206150	16893	287755	126317	88371	112745	247790	100579	237758	97834	174575	134517	99211	71399	137230	132507	128747	192026	162045	159892	131069	88719	152506	261540	268223	125880	51271	97353	154876	155544	39571	285592	78539	78006	172337	178532	205419	81195	208844	99259	157722	188230	214708	205139	233857	116584	106611	49509	243603	108108	62333	112044	105661	161418	78464	219354	439477	126451	104411	244363	327639	51248	162409	170760	144403	270873	138798	164549	80546	87465	129999	189636	136022	116855	224087	34952	111177	160321	76172	596882	39057	52137	41915	114059	151295	176500
224	544.3399	4.90	C20:4 LPC	1371606	768192	258722	854353	212864	818580	525145	915884	401768	863743	332485	1034602	678505	1123095	1055028	825519	960371	474189	334849	719897	864886	514287	1325300	742313	598651	510964	252617	666884	660128	574700	588434	650009	475170	956082	736324	667796	559785	965492	1047846	856272	1185102	975348	774862	729971	1325995	739873	670542	756601	878596	707715	532693	742617	740375	782696	427119	651227	776124	615728	509051	518666	1461699	745410	981367	859014	1133402	772536	1343928	700794	701567	964234	398042	654190	954450	1183945	881555	1027364	859038	297970	538994	252097	622543	450958	1402744	1198065	281219	339261	973329	523190	1263664	741121	2038484	382144	612426	747412	723584	895791	803367	652052	701472	331255	749618	699105	772084	1038223	666881	1068034	1299186	656742	787875	1034977	1363894	687176	518827	647555	346805	612493	737088	1013298	1049682	806901	907783	349781	1035837	420430	644390	852271	691668	623628	500950	517471	460126	627151	1340312	676775	854322	758894	633477	938526	781975	793852	797891	467764	645880	634910	857428	861269	664395	718150	646412	534835	786593	777963	634449	977297	1363899	724403	849764	725862	594157	890109	610968	486842	576878	687639	952786	841782	613568	534736	648336	779778	826449	1140481	1107234	472803	744131	721776	1414015	733223	687539	751172	1188539	716754	500232	751095	508851	435121	541016	528053	304451	704798	578892	882647	542037	625749	527424	600891	856250	404046	1361534	703692	642831	368343	244379	465859	700245	765402	683123	1378505	425215	379169	357126	506059	578520	865768	295262	457993	600275	794740	442034	628560	1292119	674604	549587	536492	1079347	1007308	864725	853474	833499	675043	415593	991392	994486	817696	610815	1222782	1052915	592301	760066	639738	791076	719627	1139576	683192	658829	965592	1122547	134600	906744	506822	965976	588249	954443	361879	851197	451270	770823	775759	697754	651724	346012	390083	396772	1182098	1280619	708545	560462	733666	799424	965287	1051638	893955	423163	640382	449672	709385	323339	1083914	764813	362738	532258	700913	806007	445036	761823	325658	1414709	731606	1203825	729401	721214	619232	698227	435154	828595	785741	522424	570566	500198	473914	390880	869739	1591765	913475	515047	538986	924714	309584	1278213	742791	547046	878645	765292	938116	624314	404415	841756	602251	578024	411513	575289	349668	790579	341069	377400	218167	299985	188600	145689	510934	1323487	725887
233	518.3215	5.04	C20:3 LPC	5260450	3416717	2409985	3211606	2090266	3326282	3055207	3554320	2332804	2516274	2559919	2849799	3551652	2879304	3765213	3215436	3559123	2736218	1915725	3368255	3711832	3227977	5147680	3364073	2314448	2568782	1611197	2691786	3326555	3309737	2660031	2439083	3164221	3274334	3846790	3051058	2100133	6384470	3754973	4476285	3395824	2722779	2876891	3657798	4847366	3016054	3853017	3960976	3176241	3132180	2243534	3024063	3060724	2535901	3308081	2147923	4005678	2499928	2781023	2827965	3471483	3272615	3225501	3007596	4382488	3126451	4922845	3031130	2790862	3442115	2892053	3376414	4156009	3134784	3732157	4412339	3563523	1681803	2700774	1268079	4097724	2371879	4511963	4833604	1150640	1577803	3215781	2102328	4821515	3282830	5150020	1576158	2833129	3922494	3865175	2662838	4061309	2929602	2701702	2670476	4027462	3544294	3479332	4232231	3570611	3110310	5267088	3272839	2726929	3376381	5075280	3105777	2490333	2867808	2242893	2413134	3241630	2574641	3967477	3642701	4232873	1732529	3636058	1994774	2805812	3590086	3325370	2012716	2527453	2767660	2544003	2198183	4667011	2939393	4031975	2639353	3146035	3257312	2761673	2435577	2769466	2777149	3238053	2358727	2719618	4787330	3009845	3246735	3132840	3444929	4201182	2097332	2980168	2583184	5011000	3200683	2884344	3768544	2506809	3678111	3015602	2435542	3089981	2637345	3265552	2977795	2572723	1865035	2685335	2976680	3064439	3414546	2910811	3010244	3248376	2634748	5021710	3225366	3379007	2941454	3958866	3170403	2469933	3303985	2674450	1974215	2675639	1974962	2691187	5236540	2671341	4780918	2425150	3076795	3079421	2370919	3438577	1996617	5174764	3181187	2453729	2205958	2054251	2531700	3483677	3306620	3544194	4986286	2345689	1475824	1971453	3411605	2286139	3424642	1531126	3669271	2517524	3219442	3421900	2854297	5227242	3062520	3078669	3125302	3717027	4711896	3325113	3583673	5705499	3805616	3214208	2929319	3843728	3938381	3467869	4047586	3375535	3007010	4123221	3453375	3833255	3637064	4902511	3033177	2677539	4740544	3451956	908314	3912757	2954920	2474897	2311031	5511386	2199168	2640560	4847425	3233425	3708019	2437431	3265740	4265270	1935594	2589558	3958811	4949720	2983930	2253162	3818048	3222612	4157049	5783707	3641672	2654763	2892399	2773663	2943641	1817508	3767980	3865630	2470411	2804605	2655267	2806339	2214542	4196090	2571690	5485931	3586436	5916051	3736014	4129640	3006873	2870639	3307060	3214263	2898611	2924648	2648041	2421212	3167378	2908978	3828883	5343776	5071884	2599655	2875644	4555542	2158628	5414510	3505223	3499984	2840118	2299042	5097959	2839511	2501339	3495425	4457603	3758813	2108643	2221434	1916445	3795296	2840154	2594255	2778915	1723587	1396428	1231705	3624964	5286044	3121474
